"id","jettyBerthId","vesselCode","vesselName","arrivalTime","berthingTime","loadingStart","loadingEnd","departureTime","draftArrival","draftDeparture","waitingTime","remarks","createdAt","updatedAt"
"cmifyj0sb09je2o7glz1khpe0","cmifyiyai06rd2o7gbgt4gxwl","MV-0001","MV Lontar Indah","2025-11-02T12:04:39.225Z","2025-11-02T13:56:39.225Z","2025-11-02T14:46:14.898Z","2025-11-03T05:51:36.467Z","2025-11-03T06:33:38.356Z",7.455921511557961,7.640347270870739,112,,"2025-11-26T12:04:39.228Z","2025-11-26T12:04:39.228Z"
"cmifyj0se09jg2o7gj62kpjwg","cmifyiyal06re2o7grqsbdcj4","MV-0002","MV Samudera Mulia","2025-11-16T12:04:39.225Z","2025-11-16T13:11:39.225Z","2025-11-16T13:32:05.466Z","2025-11-17T02:20:17.288Z","2025-11-17T03:17:01.337Z",7.532432790710826,8.600405510566759,67,,"2025-11-26T12:04:39.230Z","2025-11-26T12:04:39.230Z"
"cmifyj0sf09ji2o7gse9lvvjf","cmifyiyam06rf2o7gfs9wztl3","MV-0003","MV Barito Mulia","2025-11-07T12:04:39.225Z","2025-11-07T14:17:39.225Z","2025-11-07T14:36:27.800Z","2025-11-08T04:11:09.338Z","2025-11-08T05:27:57.454Z",6.291299900739832,7.976655396083033,133,,"2025-11-26T12:04:39.232Z","2025-11-26T12:04:39.232Z"
"cmifyj0sh09jk2o7gqmxlbmlu","cmifyiyan06rg2o7gxyaznofg","MV-0004","MV Maritim Mulia","2025-10-16T12:04:39.225Z","2025-10-16T13:02:39.225Z","2025-10-16T13:58:15.950Z","2025-10-17T12:10:26.756Z","2025-10-17T12:45:46.929Z",8.73407724145912,7.630627318468594,58,,"2025-11-26T12:04:39.233Z","2025-11-26T12:04:39.233Z"
"cmifyj0si09jm2o7gdzps790u","cmifyiyao06rh2o7g384z1tdh","MV-0005","MV Kalimantan Jaya","2025-11-05T12:04:39.225Z","2025-11-05T12:05:39.225Z","2025-11-05T12:30:50.714Z","2025-11-06T09:58:04.909Z","2025-11-06T11:02:04.377Z",6.457205366570708,8.27485062663156,1,,"2025-11-26T12:04:39.234Z","2025-11-26T12:04:39.234Z"
"cmifyj0sj09jo2o7gfqm3030g","cmifyiyaq06ri2o7gl1t6hi9o","MV-0006","MV Nusantara Jaya","2025-10-09T12:04:39.225Z","2025-10-09T14:28:39.225Z","2025-10-09T15:14:05.416Z","2025-10-10T02:49:38.998Z","2025-10-10T03:22:11.393Z",8.099222470297839,8.573782787213016,144,,"2025-11-26T12:04:39.236Z","2025-11-26T12:04:39.236Z"
"cmifyj0sl09jq2o7gxwppxjup","cmifyiyar06rj2o7ggmvg7keq","MV-0007","MV Samudera Kencana","2025-11-07T12:04:39.225Z","2025-11-07T13:45:39.225Z","2025-11-07T14:10:26.011Z","2025-11-08T09:23:09.605Z","2025-11-08T10:48:26.423Z",8.227985585772053,8.30809305857291,101,,"2025-11-26T12:04:39.237Z","2025-11-26T12:04:39.237Z"
"cmifyj0sm09js2o7gfga41p3i","cmifyiyas06rk2o7gmaf6r1fm","MV-0008","MV Barito Sentosa","2025-11-16T12:04:39.225Z","2025-11-16T12:05:39.225Z","2025-11-16T12:16:10.464Z","2025-11-17T07:59:59.137Z","2025-11-17T09:07:35.458Z",7.642908812452883,8.040878215315782,1,,"2025-11-26T12:04:39.239Z","2025-11-26T12:04:39.239Z"
"cmifyj0so09ju2o7g1paqim06","cmifyiyau06rl2o7g5j728an9","MV-0009","MV Barito Sentosa","2025-10-26T12:04:39.225Z","2025-10-26T14:59:39.225Z","2025-10-26T15:57:39.556Z","2025-10-26T22:59:10.659Z","2025-10-26T23:33:11.283Z",6.06194825911839,8.761224975092578,175,,"2025-11-26T12:04:39.240Z","2025-11-26T12:04:39.240Z"
"cmifyj0sp09jw2o7gf126h8zq","cmifyiyav06rm2o7gt3o1ch10","MV-0010","MV Kapuas Kencana","2025-10-04T12:04:39.225Z","2025-10-04T15:02:39.225Z","2025-10-04T15:44:57.208Z","2025-10-04T22:22:50.235Z","2025-10-04T23:18:55.644Z",8.333090225566108,7.168537078267248,178,,"2025-11-26T12:04:39.242Z","2025-11-26T12:04:39.242Z"
"cmifyj0sq09jy2o7giwjw3tyg","cmifyiyaw06rn2o7g0x01qd9t","MV-0011","MV Maritim Prima","2025-10-20T12:04:39.225Z","2025-10-20T12:08:39.225Z","2025-10-20T13:08:32.900Z","2025-10-21T09:56:39.569Z","2025-10-21T11:12:54.325Z",6.61640991774148,8.032128920625834,4,,"2025-11-26T12:04:39.243Z","2025-11-26T12:04:39.243Z"
"cmifyj0ss09k02o7gg8t7qs1o","cmifyiyax06ro2o7gi23xcczw","MV-0012","MV Kalimantan Kencana","2025-11-18T12:04:39.225Z","2025-11-18T13:33:39.225Z","2025-11-18T14:15:09.261Z","2025-11-19T01:35:20.713Z","2025-11-19T02:31:47.769Z",6.25507658541727,7.037443967381548,89,,"2025-11-26T12:04:39.244Z","2025-11-26T12:04:39.244Z"
"cmifyj0st09k22o7gjtv9dv6l","cmifyiyaz06rp2o7gnd530d51","MV-0013","MV Nusantara Sejahtera","2025-10-03T12:04:39.225Z","2025-10-03T12:28:39.225Z","2025-10-03T13:02:12.651Z","2025-10-03T23:37:33.719Z","2025-10-04T00:29:13.353Z",7.331136930944298,7.960366568591271,24,,"2025-11-26T12:04:39.245Z","2025-11-26T12:04:39.245Z"
"cmifyj0su09k42o7g2heazwv5","cmifyiyb006rq2o7g064pt08u","MV-0014","MV Nusantara Utama","2025-10-22T12:04:39.225Z","2025-10-22T14:42:39.225Z","2025-10-22T15:11:22.813Z","2025-10-23T12:56:13.726Z","2025-10-23T13:41:53.718Z",6.872706215161648,8.994324438181202,158,,"2025-11-26T12:04:39.247Z","2025-11-26T12:04:39.247Z"
"cmifyj0sv09k62o7g79hfow6s","cmifyiyb106rr2o7grd1g1f9r","MV-0015","MV Lontar Abadi","2025-10-08T12:04:39.225Z","2025-10-08T14:39:39.225Z","2025-10-08T15:12:02.474Z","2025-10-09T05:53:07.053Z","2025-10-09T06:27:23.212Z",8.906400695595849,7.714148209769309,155,,"2025-11-26T12:04:39.248Z","2025-11-26T12:04:39.248Z"
"cmifyj0sx09k82o7grtmuisnp","cmifyiyb206rs2o7gqy4o6tqb","MV-0016","MV Barito Makmur","2025-10-07T12:04:39.225Z","2025-10-07T14:56:39.225Z","2025-10-07T15:22:08.642Z","2025-10-08T00:28:29.671Z","2025-10-08T01:35:24.273Z",8.378736817192213,7.855847651181026,172,,"2025-11-26T12:04:39.249Z","2025-11-26T12:04:39.249Z"
"cmifyj0sy09ka2o7gix5pdt80","cmifyiyb306rt2o7g1ngc719v","MV-0017","MV Samudera Kencana","2025-10-04T12:04:39.225Z","2025-10-04T14:19:39.225Z","2025-10-04T14:43:30.659Z","2025-10-05T09:41:18.013Z","2025-10-05T11:10:18.138Z",6.595746758349254,8.758354939963937,135,,"2025-11-26T12:04:39.250Z","2025-11-26T12:04:39.250Z"
"cmifyj0sz09kc2o7gengieizl","cmifyiyb406ru2o7gyaq6lm5y","MV-0018","MV Nusantara Sentosa","2025-10-30T12:04:39.225Z","2025-10-30T12:51:39.225Z","2025-10-30T13:31:34.926Z","2025-10-31T03:37:26.719Z","2025-10-31T04:25:22.495Z",6.006170768621653,7.391657709001557,47,,"2025-11-26T12:04:39.251Z","2025-11-26T12:04:39.251Z"
"cmifyj0t009ke2o7g325d57du","cmifyiyb606rv2o7guzs63h49","MV-0019","MV Maritim Abadi","2025-10-15T12:04:39.225Z","2025-10-15T14:23:39.225Z","2025-10-15T15:19:11.062Z","2025-10-16T06:30:42.752Z","2025-10-16T07:08:24.479Z",6.999416327270273,8.991526018331575,139,,"2025-11-26T12:04:39.253Z","2025-11-26T12:04:39.253Z"
"cmifyj0t209kg2o7gcc6qcvmh","cmifyiyb706rw2o7g86nhq0oa","MV-0020","MV Maritim Sejahtera","2025-11-03T12:04:39.225Z","2025-11-03T15:02:39.225Z","2025-11-03T15:44:08.530Z","2025-11-04T05:11:44.019Z","2025-11-04T05:57:52.409Z",6.414908709114246,8.482439006192848,178,,"2025-11-26T12:04:39.254Z","2025-11-26T12:04:39.254Z"
"cmifyj0t309ki2o7g6a6b4mbb","cmifyiyb806rx2o7g1lh4iguc","MV-0021","MV Maritim Makmur","2025-11-22T12:04:39.225Z","2025-11-22T12:11:39.225Z","2025-11-22T12:36:42.335Z","2025-11-22T23:46:41.061Z","2025-11-23T00:47:34.239Z",7.616518871187339,7.774057247840494,7,,"2025-11-26T12:04:39.255Z","2025-11-26T12:04:39.255Z"
"cmifyj0t509kk2o7gyrqoy0us","cmifyiyb906ry2o7gra3gbkhh","MV-0022","MV Maritim Jaya","2025-11-23T12:04:39.225Z","2025-11-23T13:58:39.225Z","2025-11-23T14:19:30.398Z","2025-11-24T01:33:09.547Z","2025-11-24T02:08:31.149Z",7.532497215396018,7.642052358212598,114,,"2025-11-26T12:04:39.257Z","2025-11-26T12:04:39.257Z"
"cmifyj0t609km2o7gnjbjj42x","cmifyiybb06rz2o7gpndn6c3y","MV-0023","MV Kapuas Abadi","2025-10-10T12:04:39.225Z","2025-10-10T12:07:39.225Z","2025-10-10T12:36:23.936Z","2025-10-11T04:08:31.529Z","2025-10-11T05:15:31.437Z",8.203270682334123,8.956653322721067,3,,"2025-11-26T12:04:39.258Z","2025-11-26T12:04:39.258Z"
"cmifyj0t709ko2o7gc8wqbfmr","cmifyiybc06s02o7gkglg8ijv","MV-0024","MV Samudra Kencana","2025-09-28T12:04:39.225Z","2025-09-28T12:40:39.225Z","2025-09-28T13:13:37.663Z","2025-09-28T21:07:51.518Z","2025-09-28T21:54:29.584Z",6.354965982977015,7.199228347465049,36,,"2025-11-26T12:04:39.260Z","2025-11-26T12:04:39.260Z"
"cmifyj0t909kq2o7gmo3400gk","cmifyiybd06s12o7gbujpyxxs","MV-0025","MV Kapuas Makmur","2025-11-20T12:04:39.225Z","2025-11-20T14:19:39.225Z","2025-11-20T15:04:53.393Z","2025-11-20T23:46:34.179Z","2025-11-21T01:14:42.961Z",8.89346867053817,7.270069878949254,135,,"2025-11-26T12:04:39.261Z","2025-11-26T12:04:39.261Z"
"cmifyj0ta09ks2o7g1gans4v3","cmifyiybe06s22o7gdhbl5a7h","MV-0026","MV Kapuas Sentosa","2025-10-07T12:04:39.225Z","2025-10-07T14:21:39.225Z","2025-10-07T14:42:21.757Z","2025-10-08T00:12:53.513Z","2025-10-08T01:21:32.158Z",7.649378098577138,7.266127595965335,137,,"2025-11-26T12:04:39.262Z","2025-11-26T12:04:39.262Z"
"cmifyj0tb09ku2o7goi4aqvbs","cmifyiybf06s32o7gw6la3k3a","MV-0027","MV Borneo Prima","2025-11-22T12:04:39.225Z","2025-11-22T12:22:39.225Z","2025-11-22T12:54:39.210Z","2025-11-23T04:10:02.755Z","2025-11-23T05:39:53.093Z",8.444089012979575,8.003716385509794,18,,"2025-11-26T12:04:39.264Z","2025-11-26T12:04:39.264Z"
