"id","code","name","miningSiteId","dumpingType","isActive","capacity","currentStock","latitude","longitude","createdAt","updatedAt"
"cmifyiu9z01uq2o7g3xfz4axa","DP-0001","PORT 1","cmifyit1x00gq2o7gikzflhb4","PORT",true,58489.39776473738,1793.623147312073,-3.600332597784752,115.7517860240351,"2025-11-26T12:04:30.791Z","2025-11-26T12:04:30.791Z"
"cmifyiua201us2o7gu7tp1yx9","DP-0002","PORT 2","cmifyit1y00gr2o7go0hgon4i","PORT",true,88981.89499424183,17668.85794196602,-5.356398572156082,115.327849157008,"2025-11-26T12:04:30.795Z","2025-11-26T12:04:30.795Z"
"cmifyiua401uu2o7gz4bhst46","DP-0003","WASTE_DUMP 3","cmifyit1z00gs2o7gbe1wd3g8","WASTE_DUMP",true,68730.80735059912,45549.14778775604,-3.907767543353396,115.9844888440412,"2025-11-26T12:04:30.797Z","2025-11-26T12:04:30.797Z"
"cmifyiua601uw2o7gd7wsfc43","DP-0004","STOCKPILE 4","cmifyit2200gu2o7g0d9bcrxq","STOCKPILE",true,65226.95465573177,40979.37437498238,-4.406441677612332,115.7464392394835,"2025-11-26T12:04:30.799Z","2025-11-26T12:04:30.799Z"
"cmifyiua801uy2o7guqz1wnti","DP-0005","ROM_STOCKPILE 5","cmifyit2300gv2o7grh0tsz83","ROM_STOCKPILE",true,26612.67427206983,25210.08270730049,-3.058351401080158,116.9969795304427,"2025-11-26T12:04:30.800Z","2025-11-26T12:04:30.800Z"
"cmifyiua901v02o7genj4mlo5","DP-0006","WASTE_DUMP 6","cmifyit2400gw2o7grpraatck","WASTE_DUMP",true,25683.51806202795,31722.15342227388,-2.514598185034891,115.5183725843154,"2025-11-26T12:04:30.802Z","2025-11-26T12:04:30.802Z"
"cmifyiuab01v22o7gdr98cf0l","DP-0007","PORT 7","cmifyit2500gx2o7gn9uuia6v","PORT",true,86803.1418111367,19841.91901364201,-4.139929147379594,118.2300105764929,"2025-11-26T12:04:30.804Z","2025-11-26T12:04:30.804Z"
"cmifyiuad01v42o7g6m8x1s0p","DP-0008","STOCKPILE 8","cmifyit2600gy2o7g3avh0e4v","STOCKPILE",true,54108.61135184273,44986.20489084579,-5.00516760125185,119.5561633689951,"2025-11-26T12:04:30.806Z","2025-11-26T12:04:30.806Z"
"cmifyiuaf01v62o7g3py80cws","DP-0009","STOCKPILE 9","cmifyit2700gz2o7gjjumvw1q","STOCKPILE",true,33784.85059714171,27902.75201207479,-3.702368906671619,118.7895762320602,"2025-11-26T12:04:30.808Z","2025-11-26T12:04:30.808Z"
"cmifyiuah01v82o7ggmtu7qro","DP-0010","STOCKPILE 10","cmifyit2800h02o7gw02gttx6","STOCKPILE",true,66154.60574723067,45489.64397336318,-4.009837866521567,117.5091352051571,"2025-11-26T12:04:30.809Z","2025-11-26T12:04:30.809Z"
