"id","code","name","brand","model","yearManufacture","bucketCapacity","status","lastMaintenance","nextMaintenance","totalHours","currentLocation","isActive","purchaseDate","retirementDate","remarks","createdAt","updatedAt"
"cmifyiwp705dd2o7gnm5hfvek","EXC-0001","Caterpillar 349E-001","Caterpillar","349E",2022,8.683821105391948,"ACTIVE","2025-10-09T12:04:33.928Z","2025-12-08T12:04:33.928Z",13225,"PIT-02",true,"2022-04-20T17:00:00.000Z",,,"2025-11-26T12:04:33.932Z","2025-11-26T12:04:33.932Z"
"cmifyiwpa05de2o7g4bexokin","EXC-0002","Caterpillar 374F-002","Caterpillar","374F",2019,9.923427152842855,"MAINTENANCE","2025-10-02T12:04:33.928Z","2025-12-01T12:04:33.928Z",25592,"ROM-01",true,"2019-09-13T17:00:00.000Z",,,"2025-11-26T12:04:33.935Z","2025-11-26T12:04:33.935Z"
"cmifyiwpc05df2o7g4l2zvrih","EXC-0003","Caterpillar 6030-003","Caterpillar","6030",2022,11.64197271879614,"BREAKDOWN","2025-10-24T12:04:33.928Z","2025-12-23T12:04:33.928Z",12958,"PIT-02",true,"2022-07-20T17:00:00.000Z",,,"2025-11-26T12:04:33.936Z","2025-11-26T12:04:33.936Z"
"cmifyiwpd05dg2o7gc0uuvonj","EXC-0004","Kobelco SK500-10-004","Kobelco","SK500-10",2024,11.57332979475608,"MAINTENANCE","2025-11-03T12:04:33.928Z","2026-01-02T12:04:33.928Z",4556,"PIT-01",true,"2024-08-07T17:00:00.000Z",,,"2025-11-26T12:04:33.938Z","2025-11-26T12:04:33.938Z"
"cmifyiwpf05dh2o7g2luaxcaw","EXC-0005","Liebherr R9400-005","Liebherr","R9400",2018,8.393344329531423,"MAINTENANCE","2025-10-16T12:04:33.928Z","2025-12-15T12:04:33.928Z",29750,"PIT-04",true,"2018-06-15T17:00:00.000Z",,"Production unit A","2025-11-26T12:04:33.939Z","2025-11-26T12:04:33.939Z"
"cmifyiwpg05di2o7gyhub77k7","EXC-0006","Caterpillar 390F-006","Caterpillar","390F",2019,10.37521969224822,"IDLE","2025-11-06T12:04:33.928Z","2026-01-05T12:04:33.928Z",24875,"Stockpile-01",true,"2019-01-21T17:00:00.000Z",,,"2025-11-26T12:04:33.941Z","2025-11-26T12:04:33.941Z"
"cmifyiwph05dj2o7gb2c2fkul","EXC-0007","Liebherr R9800-007","Liebherr","R9800",2021,12.32476628158979,"STANDBY","2025-10-25T12:04:33.928Z","2025-12-24T12:04:33.929Z",17197,"PIT-02",true,"2021-05-17T17:00:00.000Z",,"Production unit A","2025-11-26T12:04:33.942Z","2025-11-26T12:04:33.942Z"
"cmifyiwpj05dk2o7gd9pdrcfm","EXC-0008","Komatsu PC400-8-008","Komatsu","PC400-8",2015,12.55595679018402,"IDLE","2025-10-06T12:04:33.929Z","2025-12-05T12:04:33.929Z",40373,"PIT-02",true,"2015-10-13T17:00:00.000Z",,,"2025-11-26T12:04:33.943Z","2025-11-26T12:04:33.943Z"
"cmifyiwpk05dl2o7gyi0vaxnq","EXC-0009","Kobelco SK500-10-009","Kobelco","SK500-10",2022,12.23896488883247,"BREAKDOWN","2025-10-28T12:04:33.929Z","2025-12-27T12:04:33.929Z",12626,"ROM-02",true,"2022-04-08T17:00:00.000Z",,"Production unit A","2025-11-26T12:04:33.944Z","2025-11-26T12:04:33.944Z"
"cmifyiwpl05dm2o7g8eys5ifn","EXC-0010","Liebherr R9400-010","Liebherr","R9400",2015,12.17703338363837,"IDLE","2025-10-13T12:04:33.929Z","2025-12-12T12:04:33.929Z",40589,"ROM-01",true,"2015-10-02T17:00:00.000Z",,,"2025-11-26T12:04:33.946Z","2025-11-26T12:04:33.946Z"
"cmifyiwpn05dn2o7g957ykm3k","EXC-0011","Liebherr R9400-011","Liebherr","R9400",2016,12.3879220259456,"ACTIVE","2025-10-25T12:04:33.929Z","2025-12-24T12:04:33.929Z",37788,"ROM-01",true,"2016-02-03T17:00:00.000Z",,,"2025-11-26T12:04:33.947Z","2025-11-26T12:04:33.947Z"
"cmifyiwpo05do2o7g96fib88p","EXC-0012","Volvo EC950F-012","Volvo","EC950F",2019,10.88046078580492,"MAINTENANCE","2025-11-21T12:04:33.929Z","2026-01-20T12:04:33.929Z",25521,"PIT-04",true,"2019-07-05T17:00:00.000Z",,,"2025-11-26T12:04:33.948Z","2025-11-26T12:04:33.948Z"
"cmifyiwpp05dp2o7gaec9d6ne","EXC-0013","Volvo EC950F-013","Volvo","EC950F",2017,10.14627089114505,"MAINTENANCE","2025-11-02T12:04:33.929Z","2026-01-01T12:04:33.929Z",32020,"ROM-02",true,"2017-06-06T17:00:00.000Z",,,"2025-11-26T12:04:33.950Z","2025-11-26T12:04:33.950Z"
"cmifyiwpq05dq2o7ggpmx7huq","EXC-0014","Liebherr R9800-014","Liebherr","R9800",2016,12.69700564916344,"ACTIVE","2025-11-01T12:04:33.929Z","2025-12-31T12:04:33.929Z",36568,"Workshop",true,"2016-12-02T17:00:00.000Z",,"Production unit A","2025-11-26T12:04:33.951Z","2025-11-26T12:04:33.951Z"
"cmifyiwps05dr2o7g8uuermlo","EXC-0015","Liebherr R984C-015","Liebherr","R984C",2016,12.19227252970733,"BREAKDOWN","2025-10-05T12:04:33.929Z","2025-12-04T12:04:33.929Z",36283,"PIT-03",true,"2016-07-11T17:00:00.000Z",,"Production unit A","2025-11-26T12:04:33.952Z","2025-11-26T12:04:33.952Z"
"cmifyiwpt05ds2o7g3j9hk4ty","EXC-0016","Volvo EC480E-016","Volvo","EC480E",2022,9.966328019804607,"MAINTENANCE","2025-10-22T12:04:33.929Z","2025-12-21T12:04:33.929Z",12000,"Workshop",true,"2022-11-03T17:00:00.000Z",,,"2025-11-26T12:04:33.953Z","2025-11-26T12:04:33.953Z"
"cmifyiwpu05dt2o7g1we5avoo","EXC-0017","Caterpillar 374F-017","Caterpillar","374F",2024,9.832234834288803,"STANDBY","2025-10-11T12:04:33.929Z","2025-12-10T12:04:33.929Z",4874,"ROM-01",true,"2024-07-26T17:00:00.000Z",,,"2025-11-26T12:04:33.955Z","2025-11-26T12:04:33.955Z"
"cmifyiwpw05du2o7g3gz4k2s9","EXC-0018","Komatsu PC400-8-018","Komatsu","PC400-8",2020,9.257116723934912,"BREAKDOWN","2025-10-21T12:04:33.929Z","2025-12-20T12:04:33.929Z",20438,"PIT-04",true,"2020-06-22T17:00:00.000Z",,,"2025-11-26T12:04:33.956Z","2025-11-26T12:04:33.956Z"
"cmifyiwpx05dv2o7g1tlq2fex","EXC-0019","Komatsu PC2000-8-019","Komatsu","PC2000-8",2024,12.28037246308115,"ACTIVE","2025-11-12T12:04:33.929Z","2026-01-11T12:04:33.929Z",5399,"PIT-01",true,"2024-10-18T17:00:00.000Z",,,"2025-11-26T12:04:33.957Z","2025-11-26T12:04:33.957Z"
"cmifyiwpy05dw2o7gbtw1dh0g","EXC-0020","Komatsu PC1250-8-020","Komatsu","PC1250-8",2017,11.65648590066729,"ACTIVE","2025-10-26T12:04:33.929Z","2025-12-25T12:04:33.929Z",32731,"PIT-01",true,"2017-08-27T17:00:00.000Z",,,"2025-11-26T12:04:33.959Z","2025-11-26T12:04:33.959Z"
"cmifyiwpz05dx2o7g1ipba91v","EXC-0021","Kobelco SK500-10-021","Kobelco","SK500-10",2019,10.40033439163001,"IDLE","2025-11-20T12:04:33.929Z","2026-01-19T12:04:33.929Z",25467,"Workshop",true,"2019-07-25T17:00:00.000Z",,,"2025-11-26T12:04:33.960Z","2025-11-26T12:04:33.960Z"
"cmifyiwq105dy2o7gn5ppsniu","EXC-0022","Volvo EC950F-022","Volvo","EC950F",2015,8.053766020937246,"ACTIVE","2025-11-15T12:04:33.929Z","2026-01-14T12:04:33.929Z",41502,"Workshop",true,"2015-10-06T17:00:00.000Z",,,"2025-11-26T12:04:33.961Z","2025-11-26T12:04:33.961Z"
