"id","consumptionDate","truckId","excavatorId","supportEquipmentId","fuelType","quantity","costPerLiter","totalCost","operatingHours","distance","fuelEfficiency","fuelStation","remarks","createdAt","updatedAt"
"cmifyj2mc0cbq2o7g52nkruxq","2025-11-20T12:04:41.601Z","cmifyivz704g22o7gt1eitywh",,,"SOLAR",259.2087808669926,6500,1684857.075635452,9.227997247464812,121.5318182995242,2.61064515320558,"Station-B",,"2025-11-26T12:04:41.604Z","2025-11-26T12:04:41.604Z"
"cmifyj2mf0cbs2o7gjxrq3au2","2025-11-12T12:04:41.601Z",,"cmifyiwpa05de2o7g4bexokin",,"SOLAR",143.3514106875101,6500,931784.1694688159,10.31704252015896,,,"Station-B",,"2025-11-26T12:04:41.607Z","2025-11-26T12:04:41.607Z"
"cmifyj2mg0cbu2o7g5cq6pxhk","2025-11-15T12:04:41.601Z","cmifyivzb04g62o7g01pbxv7p",,,"PERTAMAX",252.7823842935994,12000,3033388.611523193,15.13585843094225,156.8846738869435,2.659675704210212,"Station-B",,"2025-11-26T12:04:41.609Z","2025-11-26T12:04:41.609Z"
"cmifyj2mi0cbw2o7g7j7pg00j","2025-11-11T12:04:41.601Z",,,"cmifyixad05u42o7g57jdvb64","SOLAR",345.6806602941106,6500,2246924.291911719,13.95243323009698,,,"Station-B",,"2025-11-26T12:04:41.610Z","2025-11-26T12:04:41.610Z"
"cmifyj2mj0cby2o7gvy0uu3g4","2025-11-14T12:04:41.601Z","cmifyivze04ga2o7g4ds289sm",,,"SOLAR",295.6520688389073,6500,1921738.447452898,14.75191955057669,189.0425911492235,2.529359866118511,"Station-B",,"2025-11-26T12:04:41.612Z","2025-11-26T12:04:41.612Z"
"cmifyj2ml0cc02o7g79ywkuge","2025-11-20T12:04:41.601Z",,"cmifyiwpg05di2o7gyhub77k7",,"SOLAR",241.5675940868866,6500,1570189.361564763,9.441787984448503,,,"Station-C",,"2025-11-26T12:04:41.613Z","2025-11-26T12:04:41.613Z"
"cmifyj2mm0cc22o7gj7ikzpne","2025-10-31T12:04:41.601Z","cmifyivzi04ge2o7gojjs9hmm",,,"SOLAR",352.7664801756362,6500,2292982.121141635,13.39821902411841,98.90769184660124,2.72244379255205,"Station-B",,"2025-11-26T12:04:41.615Z","2025-11-26T12:04:41.615Z"
"cmifyj2mn0cc42o7gcsllzfv7","2025-11-09T12:04:41.601Z","cmifyivzk04gg2o7g1qgillqi",,,"SOLAR",135.9923768291385,6500,883950.4493894005,13.2490197465748,163.7460908064511,1.87198526040065,"Station-C",,"2025-11-26T12:04:41.616Z","2025-11-26T12:04:41.616Z"
"cmifyj2mp0cc62o7gcibzmpl5","2025-11-06T12:04:41.601Z",,"cmifyiwpk05dl2o7gyi0vaxnq",,"SOLAR",240.5811540830797,6500,1563777.501540018,10.6485964291838,,,"Station-C",,"2025-11-26T12:04:41.617Z","2025-11-26T12:04:41.617Z"
"cmifyj2mq0cc82o7gofk6iagw","2025-10-29T12:04:41.601Z",,"cmifyiwpl05dm2o7g8eys5ifn",,"SOLAR",301.2034344396772,6500,1957822.323857901,10.29056277133704,,,"Station-A",,"2025-11-26T12:04:41.619Z","2025-11-26T12:04:41.619Z"
"cmifyj2mr0cca2o7g59k004pe","2025-11-01T12:04:41.601Z","cmifyivzo04gm2o7g1qqupeae",,,"PERTAMAX",281.7169248237599,12000,3380603.097885119,11.28243329646069,148.4634585659681,1.698567666727409,"Station-B",,"2025-11-26T12:04:41.620Z","2025-11-26T12:04:41.620Z"
"cmifyj2mt0ccc2o7g0v9z1frg","2025-11-10T12:04:41.601Z",,,"cmifyixal05uc2o7gom5bssnk","SOLAR",145.3529105190772,6500,944793.918374002,13.0198671517423,,,"Station-A",,"2025-11-26T12:04:41.622Z","2025-11-26T12:04:41.622Z"
"cmifyj2mv0cce2o7gx3k9kly0","2025-11-17T12:04:41.601Z","cmifyivzs04gq2o7gfhrscjwl",,,"SOLAR",229.8483415528111,6500,1494014.220093272,15.1162880749028,188.4169762442801,2.199794138498615,"Station-C",,"2025-11-26T12:04:41.623Z","2025-11-26T12:04:41.623Z"
"cmifyj2mw0ccg2o7g6veu09q1","2025-11-11T12:04:41.602Z","cmifyivzt04gs2o7grou7f3tu",,,"PERTAMAX",424.1489194658439,12000,5089787.033590127,11.46418108036775,183.8724363950566,2.805807053440287,"Station-B",,"2025-11-26T12:04:41.624Z","2025-11-26T12:04:41.624Z"
"cmifyj2mx0cci2o7ga5qc9062","2025-11-26T12:04:41.602Z","cmifyivzv04gu2o7gcepv8scx",,,"PERTAMAX",290.6418203050949,12000,3487701.843661139,11.65883069624281,191.2094712193874,2.588740688852205,"Station-A",,"2025-11-26T12:04:41.626Z","2025-11-26T12:04:41.626Z"
