"id","activityNumber","truckId","excavatorId","operatorId","supervisorId","loadingPointId","dumpingPointId","roadSegmentId","shift","queueStartTime","queueEndTime","loadingStartTime","loadingEndTime","departureTime","arrivalTime","dumpingStartTime","dumpingEndTime","returnTime","queueDuration","loadingDuration","haulingDuration","dumpingDuration","returnDuration","totalCycleTime","loadWeight","targetWeight","loadEfficiency","distance","fuelConsumed","status","weatherCondition","roadCondition","isDelayed","delayMinutes","delayReasonId","delayReasonDetail","predictedDelayRisk","predictedDelayMinutes","remarks","createdAt","updatedAt"
"cmifyj4ri0f3q2o7gn4tfucml","HA-0000001","cmifyivz704g22o7gt1eitywh","cmifyiwp705dd2o7gnm5hfvek","cmifyivgi03pe2o7glzlk5mo2","cmifyisi600062o7guk0scdkf","cmifyitka00xe2o7gkxqrsgfb","cmifyiu9z01uq2o7g3xfz4axa","cmifyiuv402s22o7gjwlrr4o9","SHIFT_1","2025-11-25T22:56:40.636Z","2025-11-25T23:08:40.636Z","2025-11-25T23:08:40.636Z","2025-11-25T23:16:40.636Z","2025-11-25T23:16:40.636Z","2025-11-25T23:33:40.636Z","2025-11-25T23:33:40.636Z","2025-11-25T23:38:40.636Z","2025-11-26T00:04:40.636Z",12,8,17,5,26,68,31.07541140884373,37,83.98759840228036,5.731012506639714,12.26446297871451,"CANCELLED","MENDUNG","FAIR",false,0,,,"LOW",8,,"2025-11-26T12:04:44.382Z","2025-11-26T12:04:44.382Z"
"cmifyj4rn0f3s2o7gr0osfjik","HA-0000002","cmifyivz904g42o7gsg0z036g","cmifyiwpa05de2o7g4bexokin","cmifyivgl03pg2o7gq85ju7o9","cmifyisi800072o7g25jhm63p","cmifyitkd00xg2o7g2in7a85g","cmifyiua201us2o7gu7tp1yx9","cmifyiuv702s42o7gykncdf8z","SHIFT_2","2025-11-25T20:34:24.473Z","2025-11-25T20:49:24.473Z","2025-11-25T20:49:24.473Z","2025-11-25T21:02:24.473Z","2025-11-25T21:02:24.473Z","2025-11-25T21:30:24.473Z","2025-11-25T21:30:24.473Z","2025-11-25T21:40:24.473Z","2025-11-25T22:07:24.473Z",15,13,28,10,27,93,23.91200657375686,28,85.40002347770309,4.541484916895788,10.67740231962641,"CANCELLED","HUJAN_SEDANG","POOR",false,0,,,"MEDIUM",12,,"2025-11-26T12:04:44.387Z","2025-11-26T12:04:44.387Z"
"cmifyj4rq0f3u2o7g60gvrv1b","HA-0000003","cmifyivzb04g62o7g01pbxv7p","cmifyiwpc05df2o7g4l2zvrih","cmifyivgn03pi2o7gyr29h2zg","cmifyisi900082o7gsxp3c3z5","cmifyitkf00xi2o7ge02sk9z2","cmifyiua401uu2o7gz4bhst46","cmifyiuv902s62o7gzmsgwfod","SHIFT_3","2025-11-26T10:59:08.091Z","2025-11-26T10:59:08.091Z","2025-11-26T10:59:08.091Z","2025-11-26T11:07:08.091Z","2025-11-26T11:07:08.091Z","2025-11-26T11:23:08.091Z","2025-11-26T11:23:08.091Z","2025-11-26T11:32:08.091Z","2025-11-26T11:48:08.091Z",0,8,16,9,16,49,32.04807886992596,37,86.61642937817827,5.06083294300424,14.23863639286014,"CANCELLED","BERAWAN","FAIR",false,0,,,"LOW",8,,"2025-11-26T12:04:44.390Z","2025-11-26T12:04:44.390Z"
"cmifyj4rt0f3w2o7gbseytxg3","HA-0000004","cmifyivzc04g82o7g3527hbhj","cmifyiwpd05dg2o7gc0uuvonj","cmifyivgp03pk2o7gvlffhl9x","cmifyisia00092o7ggou2cuom","cmifyitkg00xk2o7gcex2i7ng","cmifyiua601uw2o7gd7wsfc43","cmifyiuva02s82o7geunohhhw","SHIFT_1","2025-11-25T12:52:51.768Z","2025-11-25T13:10:51.768Z","2025-11-25T13:10:51.768Z","2025-11-25T13:21:51.768Z","2025-11-25T13:21:51.768Z","2025-11-25T13:43:51.768Z","2025-11-25T13:43:51.768Z","2025-11-25T13:51:51.768Z","2025-11-25T14:18:51.768Z",18,11,22,8,27,86,21.18697251830317,26,81.48835583962757,2.463289511678424,7.0039023778236,"DUMPING","HUJAN_LEBAT","FAIR",false,0,,,"MEDIUM",10,,"2025-11-26T12:04:44.393Z","2025-11-26T12:04:44.393Z"
"cmifyj4rw0f3y2o7gmwce1e1p","HA-0000005","cmifyivze04ga2o7g4ds289sm","cmifyiwpf05dh2o7g2luaxcaw","cmifyivgq03pm2o7ghqy2rh8h","cmifyisic000a2o7gqlcrx4r3","cmifyitki00xm2o7gy95qnimb","cmifyiua801uy2o7guqz1wnti","cmifyiuvb02sa2o7gvby2rfi5","SHIFT_2","2025-11-25T20:51:06.163Z","2025-11-25T21:00:06.163Z","2025-11-25T21:00:06.163Z","2025-11-25T21:17:06.163Z","2025-11-25T21:17:06.163Z","2025-11-25T21:39:06.163Z","2025-11-25T21:39:06.163Z","2025-11-25T21:50:06.163Z","2025-11-25T22:03:06.163Z",9,17,22,11,13,72,28.93898162088222,33,87.69388369964308,6.515670905954669,17.0900556394211,"COMPLETED","CERAH","EXCELLENT",false,0,,,"MEDIUM",0,,"2025-11-26T12:04:44.396Z","2025-11-26T12:04:44.396Z"
"cmifyj4rz0f402o7g59efcfk1","HA-0000006","cmifyivzg04gc2o7gp56g5kry","cmifyiwpg05di2o7gyhub77k7","cmifyivgs03po2o7gg4est9mo","cmifyisie000b2o7gbnk2lgj8","cmifyitkj00xo2o7gg4xm3krk","cmifyiua901v02o7genj4mlo5","cmifyiuvd02sc2o7gc5u9eh04","SHIFT_3","2025-11-26T02:18:52.632Z","2025-11-26T02:29:52.632Z","2025-11-26T02:29:52.632Z","2025-11-26T02:39:52.632Z","2025-11-26T02:39:52.632Z","2025-11-26T02:56:52.632Z","2025-11-26T02:56:52.632Z","2025-11-26T03:08:52.632Z","2025-11-26T03:28:52.632Z",11,10,17,12,20,70,37.38697343849875,39,95.8640344576891,5.102971392941938,15.01681466059085,"COMPLETED","HUJAN_SEDANG","GOOD",false,0,,,"LOW",9,,"2025-11-26T12:04:44.399Z","2025-11-26T12:04:44.399Z"
"cmifyj4s20f422o7guwu7djap","HA-0000007","cmifyivzi04ge2o7gojjs9hmm","cmifyiwph05dj2o7gb2c2fkul","cmifyivgt03pq2o7gn7qdyvdl","cmifyisif000c2o7gpux040s1","cmifyitkl00xq2o7gat7jyapo","cmifyiuab01v22o7gdr98cf0l","cmifyiuve02se2o7ggfobf32b","SHIFT_1","2025-11-25T22:17:54.574Z","2025-11-25T22:36:54.574Z","2025-11-25T22:36:54.574Z","2025-11-25T22:53:54.574Z","2025-11-25T22:53:54.574Z","2025-11-25T23:22:54.574Z","2025-11-25T23:22:54.574Z","2025-11-25T23:27:54.574Z","2025-11-25T23:40:54.574Z",19,17,29,5,13,83,21.29887965162238,22,96.81308932555625,2.078374000481711,9.052675489047527,"DUMPING","MENDUNG","GOOD",false,0,,,"MEDIUM",14,,"2025-11-26T12:04:44.402Z","2025-11-26T12:04:44.402Z"
"cmifyj4s50f442o7gkf9kkh2c","HA-0000008","cmifyivzk04gg2o7g1qgillqi","cmifyiwpj05dk2o7gd9pdrcfm","cmifyivgv03ps2o7gxpd0y2nz","cmifyisih000d2o7g3hu555v2","cmifyitkm00xs2o7giydb0jwn","cmifyiuad01v42o7g6m8x1s0p","cmifyiuvf02sg2o7gvghkhnwd","SHIFT_2","2025-11-26T08:14:02.077Z","2025-11-26T08:17:02.077Z","2025-11-26T08:17:02.077Z","2025-11-26T08:27:02.077Z","2025-11-26T08:27:02.077Z","2025-11-26T08:47:02.077Z","2025-11-26T08:47:02.077Z","2025-11-26T08:56:02.077Z","2025-11-26T09:20:02.077Z",3,10,20,9,24,66,25.91401669396543,28,92.55005962130511,3.211935965398498,9.514279646708069,"DELAYED","HUJAN_LEBAT","EXCELLENT",false,0,,,"LOW",1,,"2025-11-26T12:04:44.405Z","2025-11-26T12:04:44.405Z"
"cmifyj4s70f462o7gbni0hm5w","HA-0000009","cmifyivzl04gi2o7g0gweba7n","cmifyiwpk05dl2o7gyi0vaxnq","cmifyivgw03pu2o7gg7soljbt","cmifyisii000e2o7gnzolakgx","cmifyitkn00xu2o7gt8f0m334","cmifyiuaf01v62o7g3py80cws","cmifyiuvg02si2o7gdv418ijp","SHIFT_3","2025-11-25T17:34:45.592Z","2025-11-25T17:39:45.592Z","2025-11-25T17:39:45.592Z","2025-11-25T17:49:45.592Z","2025-11-25T17:49:45.592Z","2025-11-25T18:12:45.592Z","2025-11-25T18:12:45.592Z","2025-11-25T18:22:45.592Z","2025-11-25T18:41:45.592Z",5,10,23,10,19,67,34.50181032577454,35,98.57660093078441,2.873466520587741,8.21535239439234,"DUMPING","HUJAN_LEBAT","POOR",false,0,,,"MEDIUM",4,,"2025-11-26T12:04:44.407Z","2025-11-26T12:04:44.407Z"
"cmifyj4sa0f482o7gds3x4nij","HA-0000010","cmifyivzn04gk2o7gzsmy5410","cmifyiwpl05dm2o7g8eys5ifn","cmifyivgz03pw2o7gwj3lhnbj","cmifyisij000f2o7g82mzx62v","cmifyitkp00xw2o7g5bs1ngnf","cmifyiuah01v82o7ggmtu7qro","cmifyiuvi02sk2o7gfi54zhrx","SHIFT_1","2025-11-25T14:33:55.500Z","2025-11-25T14:48:55.500Z","2025-11-25T14:48:55.500Z","2025-11-25T15:04:55.500Z","2025-11-25T15:04:55.500Z","2025-11-25T15:25:55.500Z","2025-11-25T15:25:55.500Z","2025-11-25T15:34:55.500Z","2025-11-25T15:50:55.500Z",15,16,21,9,16,77,17.74582168794988,21,84.50391279976134,3.239749956064244,6.896699712699982,"DUMPING","CERAH","FAIR",false,0,,,"LOW",5,,"2025-11-26T12:04:44.410Z","2025-11-26T12:04:44.410Z"
