"id","incidentNumber","incidentDate","reportDate","location","miningSiteCode","truckId","excavatorId","reportedById","operatorId","incidentType","severity","description","rootCause","injuries","fatalities","equipmentDamage","productionLoss","estimatedCost","downtimeHours","status","actionTaken","preventiveMeasure","photos","documents","remarks","createdAt","updatedAt"
"cmifyj3ym0e6e2o7g9nkugjec","INC-000001","2025-08-28T12:04:43.338Z","2025-08-29T11:15:02.284Z","Location-10","SITE-0118","cmifyivz704g22o7gt1eitywh",,"cmifyiskz00292o7gafhzeaj8","cmifyivgi03pe2o7glzlk5mo2","SPILL","LOW","Incident 1 - ACCIDENT","Root cause analysis completed",0,0,,,5056874.906950762,0,"INVESTIGATING","Corrective action implemented",,,,,"2025-11-26T12:04:43.342Z","2025-11-26T12:04:43.342Z"
"cmifyj3yp0e6g2o7gg8s43zgi","INC-000002","2025-06-22T12:04:43.339Z","2025-06-23T02:33:17.026Z","Location-33","SITE-0349",,"cmifyiwpa05de2o7g4bexokin","cmifyisj4000v2o7g86qb5qnh",,"COLLISION","MEDIUM","Incident 2 - COLLISION","Root cause analysis completed",0,0,"Equipment damage reported",2678.568949070358,15426454.97731299,20.07037493824797,"RESOLVED","Corrective action implemented",,,,,"2025-11-26T12:04:43.346Z","2025-11-26T12:04:43.346Z"
"cmifyj3yr0e6i2o7g1bp5he4u","INC-000003","2025-08-10T12:04:43.339Z","2025-08-11T11:40:23.797Z","Location-13","SITE-0585","cmifyivzb04g62o7g01pbxv7p","cmifyiwpc05df2o7g4l2zvrih","cmifyisk5001m2o7gape2ubin","cmifyivgn03pi2o7gyr29h2zg","COLLISION","MEDIUM","Incident 3 - EQUIPMENT_FAILURE",,0,0,"Equipment damage reported",35.37287211657802,21894556.13257926,7.980775156728395,"REPORTED",,,,,,"2025-11-26T12:04:43.348Z","2025-11-26T12:04:43.348Z"
"cmifyj3yt0e6k2o7gujhn5yzm","INC-000004","2025-07-30T12:04:43.339Z","2025-07-30T18:27:13.638Z","Location-26","SITE-0105",,,"cmifyiskt00242o7g3k0bcsyq",,"ACCIDENT","MEDIUM","Incident 4 - SAFETY_VIOLATION","Root cause analysis completed",0,0,"Equipment damage reported",3251.711417337031,43941510.43112792,4.221099819199344,"INVESTIGATING","Corrective action implemented",,,,,"2025-11-26T12:04:43.350Z","2025-11-26T12:04:43.350Z"
"cmifyj3yv0e6m2o7gp06iyq9i","INC-000005","2025-08-30T12:04:43.339Z","2025-08-30T17:44:23.515Z","Location-19","SITE-0178",,,"cmifyisj3000u2o7gogj3vr7w",,"SAFETY_VIOLATION","HIGH","Incident 5 - EQUIPMENT_FAILURE","Root cause analysis completed",0,0,"Equipment damage reported",2113.553463842698,205609630.2777978,0.757057104783172,"CLOSED","Corrective action implemented","Preventive measures documented",,,,"2025-11-26T12:04:43.351Z","2025-11-26T12:04:43.351Z"
"cmifyj3yx0e6o2o7g3vupznnd","INC-000006","2025-10-29T12:04:43.339Z","2025-10-29T22:37:17.545Z","Location-48","SITE-0399",,,"cmifyisjy001h2o7gklxxrgsc",,"SPILL","LOW","Incident 6 - COLLISION","Root cause analysis completed",0,0,,,8473803.69899535,0,"RESOLVED","Corrective action implemented",,,,,"2025-11-26T12:04:43.353Z","2025-11-26T12:04:43.353Z"
"cmifyj3yz0e6q2o7gu7hrnqbv","INC-000007","2025-06-02T12:04:43.339Z","2025-06-03T05:42:21.053Z","Location-26","SITE-0169",,,"cmifyisie000b2o7gbnk2lgj8",,"NEAR_MISS","LOW","Incident 7 - EQUIPMENT_FAILURE",,0,0,,,1990456.64552338,0,"REPORTED",,,,,,"2025-11-26T12:04:43.355Z","2025-11-26T12:04:43.355Z"
"cmifyj3z10e6s2o7g0u3az0tp","INC-000008","2025-07-30T12:04:43.339Z","2025-07-30T17:08:58.270Z","Location-45","SITE-0285","cmifyivzk04gg2o7g1qgillqi","cmifyiwpj05dk2o7gd9pdrcfm","cmifyisi500052o7gjr2z6c0w","cmifyivgv03ps2o7gxpd0y2nz","SAFETY_VIOLATION","MEDIUM","Incident 8 - NEAR_MISS","Root cause analysis completed",0,0,"Equipment damage reported",164.1694551951811,49069694.06476501,22.17426716071891,"RESOLVED","Corrective action implemented",,,,,"2025-11-26T12:04:43.357Z","2025-11-26T12:04:43.357Z"
"cmifyj3z30e6u2o7g5h6q5khs","INC-000009","2025-10-21T12:04:43.339Z","2025-10-21T19:45:45.441Z","Location-31","SITE-0133","cmifyivzl04gi2o7g0gweba7n","cmifyiwpk05dl2o7gyi0vaxnq","cmifyisj0000s2o7g7m4mk3ta","cmifyivgw03pu2o7gg7soljbt","SPILL","MEDIUM","Incident 9 - ACCIDENT","Root cause analysis completed",0,0,"Equipment damage reported",485.7538457792554,43566736.80089781,20.34540106770277,"RESOLVED","Corrective action implemented",,,,,"2025-11-26T12:04:43.359Z","2025-11-26T12:04:43.359Z"
"cmifyj3z40e6w2o7g7eikx1ek","INC-000010","2025-08-13T12:04:43.339Z","2025-08-14T11:02:52.377Z","Location-41","SITE-0509","cmifyivzn04gk2o7gzsmy5410","cmifyiwpl05dm2o7g8eys5ifn","cmifyisla002i2o7gz842ludt","cmifyivgz03pw2o7gwj3lhnbj","SPILL","HIGH","Incident 10 - ACCIDENT","Root cause analysis completed",0,0,"Equipment damage reported",3835.680213213009,228036673.166013,5.397989609221602,"INVESTIGATING","Corrective action implemented",,,,,"2025-11-26T12:04:43.361Z","2025-11-26T12:04:43.361Z"
