"id","code","name","portName","maxVesselSize","maxDraft","hasConveyor","loadingCapacity","isActive","remarks","createdAt","updatedAt"
"cmifyiyai06rd2o7gbgt4gxwl","JT-0001","Banjarmasin Berth A","Banjarmasin",8763.667094626184,9.918496161182532,false,329.2849186482941,true,,"2025-11-26T12:04:35.995Z","2025-11-26T12:04:35.995Z"
"cmifyiyal06re2o7grqsbdcj4","JT-0002","Samarinda Berth B","Samarinda",17473.4899290676,6.38850134169955,true,496.9147467556108,true,,"2025-11-26T12:04:35.997Z","2025-11-26T12:04:35.997Z"
"cmifyiyam06rf2o7gfs9wztl3","JT-0003","Banjarmasin Berth C","Banjarmasin",16953.02755651144,7.727368393945933,true,380.420678784143,true,,"2025-11-26T12:04:35.998Z","2025-11-26T12:04:35.998Z"
"cmifyiyan06rg2o7gxyaznofg","JT-0004","Sangatta Berth D","Sangatta",10943.31259267297,6.140992417061668,false,124.0720075319963,true,,"2025-11-26T12:04:36.000Z","2025-11-26T12:04:36.000Z"
"cmifyiyao06rh2o7g384z1tdh","JT-0005","Tarakan Berth E","Tarakan",13963.51929638806,9.193926620786808,true,486.7954428940127,true,,"2025-11-26T12:04:36.001Z","2025-11-26T12:04:36.001Z"
"cmifyiyaq06ri2o7gl1t6hi9o","JT-0006","Tanjung Bara Berth F","Tanjung Bara",12876.36924287905,8.292227415644133,true,431.7616734965047,true,,"2025-11-26T12:04:36.002Z","2025-11-26T12:04:36.002Z"
"cmifyiyar06rj2o7ggmvg7keq","JT-0007","Kariangau Berth G","Kariangau",8046.433674871201,9.345569539969759,false,539.7822264202043,true,,"2025-11-26T12:04:36.003Z","2025-11-26T12:04:36.003Z"
"cmifyiyas06rk2o7gmaf6r1fm","JT-0008","Sangatta Berth H","Sangatta",12419.22647688059,6.600107519950329,true,260.9200635402667,false,,"2025-11-26T12:04:36.005Z","2025-11-26T12:04:36.005Z"
"cmifyiyau06rl2o7g5j728an9","JT-0009","Tanjung Bara Berth I","Tanjung Bara",14291.6813443986,7.226968568077915,true,285.7796033222288,true,,"2025-11-26T12:04:36.006Z","2025-11-26T12:04:36.006Z"
"cmifyiyav06rm2o7gt3o1ch10","JT-0010","Kariangau Berth J","Kariangau",19367.20348449631,6.751173000495111,false,487.5650058317469,true,,"2025-11-26T12:04:36.007Z","2025-11-26T12:04:36.007Z"
"cmifyiyaw06rn2o7g0x01qd9t","JT-0011","Banjarmasin Berth K","Banjarmasin",5556.124633191856,7.379019216306695,true,238.608908376995,true,,"2025-11-26T12:04:36.009Z","2025-11-26T12:04:36.009Z"
