"id","code","name","miningSiteId","excavatorId","isActive","maxQueueSize","latitude","longitude","coalSeam","coalQuality","createdAt","updatedAt"
"cmifyitka00xe2o7gkxqrsgfb","LP-0001","Loading Point 1","cmifyit1u00gp2o7gqzt93hpw",,true,4,-3.541595064441346,119.1709650505392,"Seam-B2","{""sulfur"":0.2717178251283704,""calorie"":5974.994484509925,""moisture"":16.54085670600704,""ash_content"":5.864786428326273}","2025-11-26T12:04:29.866Z","2025-11-26T12:04:29.866Z"
"cmifyitkd00xg2o7g2in7a85g","LP-0002","Loading Point 2","cmifyit2100gt2o7g1d8n35a2",,true,3,-2.777809530344713,118.7599366210482,"Seam-A1","{""sulfur"":0.2273765834456117,""calorie"":4641.101344319074,""moisture"":10.81238307375198,""ash_content"":7.60677951095281}","2025-11-26T12:04:29.869Z","2025-11-26T12:04:29.869Z"
"cmifyitkf00xi2o7ge02sk9z2","LP-0003","Loading Point 3","cmifyit2e00h52o7gb7y04i5h",,true,9,-3.65647202919743,118.0639585094637,"Seam-C1","{""sulfur"":0.620443441106443,""calorie"":5003.339529458328,""moisture"":11.67220056380983,""ash_content"":9.925883590563892}","2025-11-26T12:04:29.871Z","2025-11-26T12:04:29.871Z"
"cmifyitkg00xk2o7gcex2i7ng","LP-0004","Loading Point 4","cmifyit2i00h92o7gled0mdpu",,true,4,-4.52211370729377,118.1549620466811,"Seam-B2","{""sulfur"":0.6244172566625183,""calorie"":4770.38497826774,""moisture"":19.99352766752328,""ash_content"":10.25654181884018}","2025-11-26T12:04:29.873Z","2025-11-26T12:04:29.873Z"
"cmifyitki00xm2o7gy95qnimb","LP-0005","Loading Point 5","cmifyit2u00hk2o7gneh5k5br",,true,9,-3.773198564511787,118.7968271478535,"Seam-B1","{""sulfur"":0.6638030114408964,""calorie"":5120.268150299171,""moisture"":14.86519898802641,""ash_content"":9.827819526839546}","2025-11-26T12:04:29.874Z","2025-11-26T12:04:29.874Z"
"cmifyitkj00xo2o7gg4xm3krk","LP-0006","Loading Point 6","cmifyit2x00hn2o7gnvitw2xi",,true,3,-3.929221351261314,116.1039155593848,"Seam-A1","{""sulfur"":0.775886516464614,""calorie"":5290.688853793623,""moisture"":12.19310923952395,""ash_content"":7.122122735872981}","2025-11-26T12:04:29.876Z","2025-11-26T12:04:29.876Z"
"cmifyitkl00xq2o7gat7jyapo","LP-0007","Loading Point 7","cmifyit2z00hp2o7glhq3h6yx",,true,5,-3.038144768341442,116.0053025534291,"Seam-C2","{""sulfur"":0.3145995223322212,""calorie"":5683.667487433737,""moisture"":15.5111867401008,""ash_content"":8.305501478995838}","2025-11-26T12:04:29.877Z","2025-11-26T12:04:29.877Z"
"cmifyitkm00xs2o7giydb0jwn","LP-0008","Loading Point 8","cmifyit3200hs2o7gejl8ssw2",,true,6,-3.430295988640343,119.1878575459146,"Seam-C1","{""sulfur"":0.22097076316414,""calorie"":5648.26761333831,""moisture"":17.61622506100217,""ash_content"":6.49971402114164}","2025-11-26T12:04:29.878Z","2025-11-26T12:04:29.878Z"
"cmifyitkn00xu2o7gt8f0m334","LP-0009","Loading Point 9","cmifyit3600hv2o7gx6hag8ee",,true,3,-5.453245164426512,115.0669073154595,"Seam-A1","{""sulfur"":0.2775414139122269,""calorie"":5837.786634036799,""moisture"":19.06633450256942,""ash_content"":6.499015513242284}","2025-11-26T12:04:29.880Z","2025-11-26T12:04:29.880Z"
"cmifyitkp00xw2o7g5bs1ngnf","LP-0010","Loading Point 10","cmifyit3700hw2o7g35z9u7hf",,true,3,-4.506569940359445,118.9353292374956,"Seam-A1","{""sulfur"":0.6509043057156256,""calorie"":5265.433556149266,""moisture"":8.08072322119818,""ash_content"":6.968091733631708}","2025-11-26T12:04:29.881Z","2025-11-26T12:04:29.881Z"
"cmifyitkq00xy2o7gbwxrix7o","LP-0011","Loading Point 11","cmifyit3d00i12o7glf6lggeg",,true,6,-4.206255160501031,117.290889165077,"Seam-B2","{""sulfur"":0.588943286969561,""calorie"":5141.878387463914,""moisture"":15.2751303090072,""ash_content"":8.486224536574623}","2025-11-26T12:04:29.882Z","2025-11-26T12:04:29.882Z"
"cmifyitkr00y02o7gbbykhdhr","LP-0012","Loading Point 12","cmifyit3e00i22o7gwtbgx71g",,true,3,-3.377233458829856,119.6141182812696,"Seam-A2","{""sulfur"":0.5320669988398791,""calorie"":4529.425950286808,""moisture"":19.86415842618754,""ash_content"":9.367326275772752}","2025-11-26T12:04:29.884Z","2025-11-26T12:04:29.884Z"
"cmifyitkt00y22o7gfx4pq1qb","LP-0013","Loading Point 13","cmifyit3y00ij2o7gcq657djj",,true,8,-4.301515939535147,116.9920138823736,"Seam-A1","{""sulfur"":0.3928195631256867,""calorie"":4868.384354958245,""moisture"":17.91031893944195,""ash_content"":8.455184671938635}","2025-11-26T12:04:29.885Z","2025-11-26T12:04:29.885Z"
"cmifyitku00y42o7g08ragkkb","LP-0014","Loading Point 14","cmifyit4600iq2o7guydcooc8",,true,7,-4.536961848201795,118.7663251610223,"Seam-B2","{""sulfur"":0.4263088028450326,""calorie"":5695.637650675759,""moisture"":8.26367711907453,""ash_content"":10.47950023801688}","2025-11-26T12:04:29.886Z","2025-11-26T12:04:29.886Z"
