"id","maintenanceNumber","truckId","excavatorId","supportEquipmentId","maintenanceType","scheduledDate","actualDate","completionDate","duration","cost","description","partsReplaced","mechanicName","status","downtimeHours","remarks","createdAt","updatedAt"
"cmifyj1y50bee2o7g19cpvmbe","MNT-000001",,"cmifyiwp705dd2o7gnm5hfvek",,"CORRECTIVE",,"2025-09-16T12:04:40.730Z",,,,"Maintenance PREVENTIVE 1",,"Dedi","CANCELLED",0,,"2025-11-26T12:04:40.733Z","2025-11-26T12:04:40.733Z"
"cmifyj1y80beg2o7gqjo51e00","MNT-000002","cmifyivz904g42o7gsg0z036g",,,"CORRECTIVE",,"2025-10-18T12:04:40.730Z",,,,"Maintenance INSPECTION 2",,"Dedi","CANCELLED",0,,"2025-11-26T12:04:40.736Z","2025-11-26T12:04:40.736Z"
"cmifyj1ya0bei2o7g6qkssv37","MNT-000003","cmifyivzb04g62o7g01pbxv7p",,,"OVERHAUL","2025-10-13T12:04:40.730Z","2025-10-16T12:04:40.730Z",,,,"Maintenance OVERHAUL 3",,"Rudi","SCHEDULED",0,,"2025-11-26T12:04:40.738Z","2025-11-26T12:04:40.738Z"
"cmifyj1yc0bek2o7gtea8py6b","MNT-000004","cmifyivzc04g82o7g3527hbhj",,,"CORRECTIVE",,"2025-09-13T12:04:40.730Z","2025-09-14T00:04:40.730Z",12,10565031.1610442,"Maintenance OVERHAUL 4","{""parts"":""Ban"",""quantity"":2}","Agus","COMPLETED",12,,"2025-11-26T12:04:40.740Z","2025-11-26T12:04:40.740Z"
"cmifyj1yd0bem2o7g2rm84zi0","MNT-000005","cmifyivze04ga2o7g4ds289sm",,,"PREVENTIVE",,"2025-11-07T12:04:40.730Z",,,,"Maintenance PREDICTIVE 5",,"Dedi","IN_PROGRESS",0,,"2025-11-26T12:04:40.742Z","2025-11-26T12:04:40.742Z"
"cmifyj1yf0beo2o7gazzj12u1","MNT-000006",,"cmifyiwpg05di2o7gyhub77k7",,"CORRECTIVE",,"2025-10-20T12:04:40.730Z",,,,"Maintenance PREVENTIVE 6",,"Budi","IN_PROGRESS",0,,"2025-11-26T12:04:40.743Z","2025-11-26T12:04:40.743Z"
"cmifyj1yh0beq2o7g33b3ewud","MNT-000007",,,"cmifyixag05u72o7gs1jz5xrk","OVERHAUL",,"2025-09-26T12:04:40.730Z",,,,"Maintenance OVERHAUL 7",,"Dedi","IN_PROGRESS",0,,"2025-11-26T12:04:40.745Z","2025-11-26T12:04:40.745Z"
"cmifyj1yj0bes2o7gcpl21gsf","MNT-000008","cmifyivzk04gg2o7g1qgillqi",,,"PREVENTIVE",,"2025-08-31T12:04:40.730Z","2025-08-31T14:04:40.730Z",2,12810104.016899,"Maintenance PREDICTIVE 8","{""parts"":""Brake Pad"",""quantity"":1}","Dedi","COMPLETED",2,,"2025-11-26T12:04:40.747Z","2025-11-26T12:04:40.747Z"
"cmifyj1yk0beu2o7gh17vqeaq","MNT-000009",,"cmifyiwpk05dl2o7gyi0vaxnq",,"OVERHAUL","2025-11-18T12:04:40.730Z","2025-11-21T12:04:40.730Z",,,,"Maintenance CORRECTIVE 9",,"Dedi","CANCELLED",0,,"2025-11-26T12:04:40.749Z","2025-11-26T12:04:40.749Z"
"cmifyj1ym0bew2o7gel4t1drh","MNT-000010",,,"cmifyixaj05ua2o7g4ctkn0rv","PREVENTIVE","2025-11-10T12:04:40.730Z","2025-11-13T12:04:40.730Z",,,,"Maintenance PREVENTIVE 10",,"Dedi","CANCELLED",0,,"2025-11-26T12:04:40.750Z","2025-11-26T12:04:40.750Z"
"cmifyj1yn0bey2o7g270f4fl5","MNT-000011",,"cmifyiwpn05dn2o7g957ykm3k",,"PREVENTIVE","2025-09-01T12:04:40.730Z","2025-09-04T12:04:40.730Z","2025-09-04T18:04:40.730Z",6,18824892.22128564,"Maintenance CORRECTIVE 11","{""parts"":""Brake Pad"",""quantity"":4}","Dedi","COMPLETED",6,,"2025-11-26T12:04:40.752Z","2025-11-26T12:04:40.752Z"
"cmifyj1yp0bf02o7gn4mjleo4","MNT-000012",,"cmifyiwpo05do2o7g96fib88p",,"CORRECTIVE",,"2025-10-25T12:04:40.730Z",,,,"Maintenance PREDICTIVE 12",,"Agus","IN_PROGRESS",0,,"2025-11-26T12:04:40.753Z","2025-11-26T12:04:40.753Z"
"cmifyj1yr0bf22o7gn5m0av7h","MNT-000013",,"cmifyiwpp05dp2o7gaec9d6ne",,"OVERHAUL","2025-11-21T12:04:40.730Z","2025-11-24T12:04:40.730Z","2025-11-25T18:04:40.730Z",30,37788795.71024302,"Maintenance INSPECTION 13","{""parts"":""Filter Oli"",""quantity"":3}","Agus","COMPLETED",30,,"2025-11-26T12:04:40.755Z","2025-11-26T12:04:40.755Z"
"cmifyj1yt0bf42o7gbyls6ett","MNT-000014","cmifyivzt04gs2o7grou7f3tu",,,"PREDICTIVE","2025-09-16T12:04:40.730Z","2025-09-19T12:04:40.730Z",,,,"Maintenance INSPECTION 14",,"Rudi","SCHEDULED",0,,"2025-11-26T12:04:40.757Z","2025-11-26T12:04:40.757Z"
"cmifyj1yu0bf62o7gn80wdtqs","MNT-000015",,"cmifyiwps05dr2o7g8uuermlo",,"INSPECTION","2025-09-05T12:04:40.730Z","2025-09-08T12:04:40.730Z",,,,"Maintenance OVERHAUL 15",,"Budi","CANCELLED",0,,"2025-11-26T12:04:40.758Z","2025-11-26T12:04:40.758Z"
"cmifyj1yw0bf82o7gftwtj5pi","MNT-000016","cmifyivzx04gw2o7gogmy43r4",,,"OVERHAUL",,"2025-10-21T12:04:40.731Z","2025-10-21T14:04:40.731Z",2,40202969.43616792,"Maintenance PREDICTIVE 16","{""parts"":""Filter Oli"",""quantity"":4}","Rudi","COMPLETED",2,,"2025-11-26T12:04:40.760Z","2025-11-26T12:04:40.760Z"
"cmifyj1yx0bfa2o7gix42ha16","MNT-000017","cmifyivzy04gy2o7gfw7yuv2r",,,"INSPECTION","2025-11-13T12:04:40.731Z","2025-11-16T12:04:40.731Z",,,,"Maintenance PREVENTIVE 17",,"Dedi","IN_PROGRESS",0,,"2025-11-26T12:04:40.761Z","2025-11-26T12:04:40.761Z"
"cmifyj1yz0bfc2o7g3gwgngve","MNT-000018",,,"cmifyixar05ui2o7gg9t1cygx","PREVENTIVE",,"2025-11-02T12:04:40.731Z",,,,"Maintenance CORRECTIVE 18",,"Agus","IN_PROGRESS",0,,"2025-11-26T12:04:40.763Z","2025-11-26T12:04:40.763Z"
"cmifyj1z00bfe2o7gk88uwa2m","MNT-000019",,"cmifyiwpx05dv2o7g1tlq2fex",,"PREDICTIVE",,"2025-10-04T12:04:40.731Z",,,,"Maintenance CORRECTIVE 19",,"Rudi","SCHEDULED",0,,"2025-11-26T12:04:40.765Z","2025-11-26T12:04:40.765Z"
"cmifyj1z20bfg2o7gvfyhrcvs","MNT-000020",,,"cmifyixat05uk2o7gkmmvubqf","CORRECTIVE","2025-10-04T12:04:40.731Z","2025-10-07T12:04:40.731Z",,,,"Maintenance PREDICTIVE 20",,"Budi","SCHEDULED",0,,"2025-11-26T12:04:40.766Z","2025-11-26T12:04:40.766Z"
"cmifyj1z30bfi2o7grqzgketv","MNT-000021","cmifyiw0404h62o7gmnj9qcj6",,,"INSPECTION","2025-09-15T12:04:40.731Z","2025-09-18T12:04:40.731Z","2025-09-19T13:04:40.731Z",25,44496290.45917601,"Maintenance PREDICTIVE 21","{""parts"":""Filter Oli"",""quantity"":2}","Agus","COMPLETED",25,,"2025-11-26T12:04:40.768Z","2025-11-26T12:04:40.768Z"
"cmifyj1z50bfk2o7gj7p3bjwx","MNT-000022",,"cmifyiwq105dy2o7gn5ppsniu",,"INSPECTION","2025-08-26T12:04:40.731Z","2025-08-29T12:04:40.731Z",,,,"Maintenance OVERHAUL 22",,"Rudi","SCHEDULED",0,,"2025-11-26T12:04:40.769Z","2025-11-26T12:04:40.769Z"
"cmifyj1z70bfm2o7g412ed6xf","MNT-000023",,,"cmifyixax05un2o7g577g3lrs","CORRECTIVE",,"2025-11-22T12:04:40.731Z",,,,"Maintenance OVERHAUL 23",,"Agus","IN_PROGRESS",0,,"2025-11-26T12:04:40.771Z","2025-11-26T12:04:40.771Z"
"cmifyj1z90bfo2o7gmppa903k","MNT-000024",,"cmifyiwq305e02o7g4wmubjjc",,"PREDICTIVE","2025-11-23T12:04:40.731Z","2025-11-26T12:04:40.731Z",,,,"Maintenance CORRECTIVE 24",,"Rudi","IN_PROGRESS",0,,"2025-11-26T12:04:40.773Z","2025-11-26T12:04:40.773Z"
"cmifyj1za0bfq2o7g3gf6qvh5","MNT-000025",,,"cmifyixaz05up2o7gcjlema9k","PREVENTIVE","2025-09-26T12:04:40.731Z","2025-09-29T12:04:40.731Z",,,,"Maintenance PREVENTIVE 25",,"Rudi","SCHEDULED",0,,"2025-11-26T12:04:40.775Z","2025-11-26T12:04:40.775Z"
"cmifyj1zc0bfs2o7gypwd3r77","MNT-000026",,,"cmifyixb005uq2o7g54qrtehm","INSPECTION","2025-08-29T12:04:40.731Z","2025-09-01T12:04:40.731Z",,,,"Maintenance CORRECTIVE 26",,"Dedi","CANCELLED",0,,"2025-11-26T12:04:40.776Z","2025-11-26T12:04:40.776Z"
"cmifyj1zd0bfu2o7go1ufzeqa","MNT-000027","cmifyiw0e04hi2o7g5dg6ys7d",,,"PREVENTIVE","2025-09-02T12:04:40.731Z","2025-09-05T12:04:40.731Z",,,,"Maintenance PREVENTIVE 27",,"Agus","SCHEDULED",0,,"2025-11-26T12:04:40.778Z","2025-11-26T12:04:40.778Z"
"cmifyj1zf0bfw2o7g238zr9jy","MNT-000028",,"cmifyiwq805e42o7g6tdv9niz",,"CORRECTIVE","2025-10-04T12:04:40.731Z","2025-10-07T12:04:40.731Z",,,,"Maintenance CORRECTIVE 28",,"Agus","CANCELLED",0,,"2025-11-26T12:04:40.779Z","2025-11-26T12:04:40.779Z"
"cmifyj1zh0bfy2o7gyxt5sajc","MNT-000029",,"cmifyiwq905e52o7ggqmgy2c1",,"OVERHAUL","2025-09-26T12:04:40.731Z","2025-09-29T12:04:40.731Z","2025-10-01T05:04:40.731Z",41,47249130.862307,"Maintenance INSPECTION 29","{""parts"":""Filter Oli"",""quantity"":2}","Budi","COMPLETED",41,,"2025-11-26T12:04:40.781Z","2025-11-26T12:04:40.781Z"
"cmifyj1zi0bg02o7glbfx07nm","MNT-000030",,,"cmifyixb405uu2o7gpy6jtegc","CORRECTIVE",,"2025-09-28T12:04:40.731Z","2025-09-30T08:04:40.731Z",44,35036877.18757588,"Maintenance OVERHAUL 30","{""parts"":""Ban"",""quantity"":1}","Dedi","COMPLETED",44,,"2025-11-26T12:04:40.783Z","2025-11-26T12:04:40.783Z"
"cmifyj1zk0bg22o7gleeamles","MNT-000031","cmifyiw0k04hq2o7ghhxg47wv",,,"CORRECTIVE","2025-10-21T12:04:40.731Z","2025-10-24T12:04:40.731Z",,,,"Maintenance PREDICTIVE 31",,"Dedi","IN_PROGRESS",0,,"2025-11-26T12:04:40.784Z","2025-11-26T12:04:40.784Z"
"cmifyj1zl0bg42o7gcmqz2hrx","MNT-000032",,,"cmifyixb705uw2o7gyvfp9fp4","PREVENTIVE",,"2025-11-05T12:04:40.731Z",,,,"Maintenance CORRECTIVE 32",,"Dedi","SCHEDULED",0,,"2025-11-26T12:04:40.786Z","2025-11-26T12:04:40.786Z"
"cmifyj1zn0bg62o7gcihreixr","MNT-000033","cmifyiw0n04hu2o7gmajb6aqt",,,"OVERHAUL",,"2025-10-28T12:04:40.731Z",,,,"Maintenance PREDICTIVE 33",,"Dedi","CANCELLED",0,,"2025-11-26T12:04:40.787Z","2025-11-26T12:04:40.787Z"
"cmifyj1zp0bg82o7gaaeayrby","MNT-000034",,"cmifyiwqf05ea2o7g3qwdc8z1",,"INSPECTION","2025-10-15T12:04:40.731Z","2025-10-18T12:04:40.731Z",,,,"Maintenance INSPECTION 34",,"Dedi","CANCELLED",0,,"2025-11-26T12:04:40.789Z","2025-11-26T12:04:40.789Z"
"cmifyj1zq0bga2o7gwqtwj0xw","MNT-000035",,,"cmifyixba05uz2o7gf7e04i1t","OVERHAUL","2025-09-27T12:04:40.731Z","2025-09-30T12:04:40.731Z",,,,"Maintenance PREVENTIVE 35",,"Dedi","SCHEDULED",0,,"2025-11-26T12:04:40.790Z","2025-11-26T12:04:40.790Z"
"cmifyj1zs0bgc2o7g6op9trsw","MNT-000036","cmifyiw0r04i02o7gxekx1w1k",,,"CORRECTIVE","2025-09-03T12:04:40.731Z","2025-09-06T12:04:40.731Z",,,,"Maintenance INSPECTION 36",,"Budi","IN_PROGRESS",0,,"2025-11-26T12:04:40.792Z","2025-11-26T12:04:40.792Z"
