"id","code","name","siteType","isActive","latitude","longitude","elevation","capacity","description","createdAt","updatedAt"
"cmifyit1u00gp2o7gqzt93hpw","SITE-0001","Muara Teweh PIT A","PIT",true,-3.540394167359268,119.1713941977846,148.9739126444944,,"Mining site 1 - Muara Teweh region","2025-11-26T12:04:29.203Z","2025-11-26T12:04:29.203Z"
"cmifyit1x00gq2o7gikzflhb4","SITE-0002","Satui PORT B","PORT",true,-3.598203527302904,115.7540823227522,93.83925641057681,,"Mining site 2 - Satui region","2025-11-26T12:04:29.205Z","2025-11-26T12:04:29.205Z"
"cmifyit1y00gr2o7go0hgon4i","SITE-0003","Lati ROM_PAD C","ROM_PAD",true,-5.351436802008041,115.3313832052121,111.0174717285324,,"Mining site 3 - Lati region","2025-11-26T12:04:29.207Z","2025-11-26T12:04:29.207Z"
"cmifyit1z00gs2o7gbe1wd3g8","SITE-0004","Melak STOCKPILE D","STOCKPILE",true,-3.910076721215208,115.987848158877,82.71857533719646,189838.0244425673,"Mining site 4 - Melak region","2025-11-26T12:04:29.208Z","2025-11-26T12:04:29.208Z"
"cmifyit2100gt2o7g1d8n35a2","SITE-0005","Melak PIT E","PIT",true,-2.780854602555384,118.7553743668402,80.90490851805671,,"Mining site 5 - Melak region","2025-11-26T12:04:29.209Z","2025-11-26T12:04:29.209Z"
"cmifyit2200gu2o7g0d9bcrxq","SITE-0006","Melak PORT F","PORT",true,-4.410967474619522,115.7498537964143,193.9675522828594,,"Mining site 6 - Melak region","2025-11-26T12:04:29.210Z","2025-11-26T12:04:29.210Z"
"cmifyit2300gv2o7grh0tsz83","SITE-0007","Balikpapan PORT G","PORT",true,-3.059669525862068,116.9968411718052,137.6704026739201,,"Mining site 7 - Balikpapan region","2025-11-26T12:04:29.211Z","2025-11-26T12:04:29.211Z"
"cmifyit2400gw2o7grpraatck","SITE-0008","Bengalon PORT H","PORT",true,-2.514873737565123,115.5221678358838,192.6848706388969,,"Mining site 8 - Bengalon region","2025-11-26T12:04:29.212Z","2025-11-26T12:04:29.212Z"
"cmifyit2500gx2o7gn9uuia6v","SITE-0009","Balikpapan ROM_PAD I","ROM_PAD",true,-4.144642845152889,118.2264035677311,112.7880002690007,,"Mining site 9 - Balikpapan region","2025-11-26T12:04:29.213Z","2025-11-26T12:04:29.213Z"
"cmifyit2600gy2o7g3avh0e4v","SITE-0010","Samarinda PORT J","PORT",true,-5.006634076003708,119.5529954446227,91.56955193508621,,"Mining site 10 - Samarinda region","2025-11-26T12:04:29.214Z","2025-11-26T12:04:29.214Z"
"cmifyit2700gz2o7gjjumvw1q","SITE-0011","Satui STOCKPILE K","STOCKPILE",true,-3.705538545129766,118.7879132768254,144.8144217575438,153721.9168875962,"Mining site 11 - Satui region","2025-11-26T12:04:29.215Z","2025-11-26T12:04:29.215Z"
