"id","recordDate","shift","miningSiteId","targetProduction","actualProduction","achievement","avgCalori","avgAshContent","avgSulfur","avgMoisture","totalTrips","totalDistance","totalFuel","avgCycleTime","trucksOperating","trucksBreakdown","excavatorsOperating","excavatorsBreakdown","utilizationRate","downtimeHours","remarks","createdAt","updatedAt"
"cmifyj37z0d922o7gdlsi1cac","2025-11-26T00:00:00.000Z","SHIFT_1","cmifyit1u00gp2o7gqzt93hpw",13385.78216067923,14550.29200730062,108.6996025532384,5295.508953859585,8.368580427597207,0.5358179219627488,15.25571076255906,582,55083.11262264904,34220.02966232147,38.64664287114785,35,2,4,0,90.90257407897822,1.233451096866673,,"2025-11-26T12:04:42.383Z","2025-11-26T12:04:42.383Z"
"cmifyj3820d942o7gi2bfkoj5","2025-11-26T00:00:00.000Z","SHIFT_2","cmifyit1x00gq2o7gikzflhb4",13216.6488175407,12137.76743775454,91.83695205433392,5350.849417510704,6.442284172204181,0.6540802073205527,14.89811996988997,485,37926.17827971459,34462.93085433404,31.27967974189062,19,0,7,1,92.06561234948177,1.357629921955961,,"2025-11-26T12:04:42.386Z","2025-11-26T12:04:42.386Z"
"cmifyj3840d962o7gocmdceq5","2025-11-26T00:00:00.000Z","SHIFT_3","cmifyit1y00gr2o7go0hgon4i",6698.104624190935,6778.140455794133,101.1949026790973,4946.072362421375,9.513048543161434,0.6673530655788023,17.05558743599277,271,30326.17899078066,20202.30968905802,36.31803964159283,28,2,3,0,77.3016799402548,0.7199233646291932,,"2025-11-26T12:04:42.388Z","2025-11-26T12:04:42.388Z"
"cmifyj3860d982o7g9brra5ia","2025-11-26T00:00:00.000Z","SHIFT_1","cmifyit1z00gs2o7gbe1wd3g8",11790.55658729371,8524.513962890784,72.29950426663797,5063.467893040619,7.731865509650691,0.5758318171178609,14.47768365017939,340,32147.97911611823,23266.95371844414,28.62327617026153,17,2,5,1,88.76144526034645,1.195847634291365,,"2025-11-26T12:04:42.390Z","2025-11-26T12:04:42.390Z"
"cmifyj3870d9a2o7golx4u591","2025-11-26T00:00:00.000Z","SHIFT_2","cmifyit2100gt2o7g1d8n35a2",5792.551400476637,4732.048234376348,81.6919507004629,5438.98885112381,9.922667791349895,0.5615914808511088,18.91390889569018,189,23232.49875724548,14096.18145971329,25.75296761090577,25,2,4,0,75.4413044218049,0.8414933611318762,,"2025-11-26T12:04:42.392Z","2025-11-26T12:04:42.392Z"
"cmifyj3890d9c2o7gx3wr7unv","2025-11-26T00:00:00.000Z","SHIFT_3","cmifyit2200gu2o7g0d9bcrxq",7346.208543134673,8022.68669916261,109.2085346074219,5208.304772560921,7.99334051825963,0.5964313172646571,18.74587056725226,320,34501.36984076331,19332.28283905185,39.75958861488861,36,2,4,0,78.15354666648255,0.201494189193673,,"2025-11-26T12:04:42.393Z","2025-11-26T12:04:42.393Z"
"cmifyj38a0d9e2o7gts3slsuh","2025-11-26T00:00:00.000Z","SHIFT_1","cmifyit2300gv2o7grh0tsz83",8652.06014267686,8261.389523798782,95.48465206626258,4993.770147857758,8.459476315480407,0.5935810676535478,14.54564630334087,330,37121.16799765352,24414.62744496038,28.19020776443127,27,2,6,1,90.09907218498584,0.2880402170482665,,"2025-11-26T12:04:42.395Z","2025-11-26T12:04:42.395Z"
"cmifyj38c0d9g2o7gpt2wjr60","2025-11-26T00:00:00.000Z","SHIFT_2","cmifyit2400gw2o7grpraatck",12172.84365821835,11373.90735657501,93.43673241786895,5442.839613808055,9.825381502457448,0.3265337592729279,12.52484637936176,454,40847.03255484624,24772.06233913849,32.27032083695335,33,1,4,0,85.55715196353603,1.147309075151571,,"2025-11-26T12:04:42.396Z","2025-11-26T12:04:42.396Z"
"cmifyj38d0d9i2o7gwyagriwe","2025-11-26T00:00:00.000Z","SHIFT_3","cmifyit2500gx2o7gn9uuia6v",10845.52597342041,9804.425525080587,90.40064584335245,5379.45996680451,7.720895776367856,0.6940079158538547,18.62439354732445,392,42807.3567544759,20183.50616490649,33.45865045790917,30,2,3,0,79.01737849248946,0.498401216600985,,"2025-11-26T12:04:42.398Z","2025-11-26T12:04:42.398Z"
"cmifyj38f0d9k2o7gynqi0bzc","2025-11-26T00:00:00.000Z","SHIFT_1","cmifyit2600gy2o7g3avh0e4v",12960.35964195047,10265.50833008033,79.20697120821117,5616.005126457626,6.947981439788221,0.6758883125679415,11.46655883011443,410,50568.14767967089,22569.1632967794,39.09879065671758,18,0,7,1,85.9636840790734,0.8457675160449716,,"2025-11-26T12:04:42.399Z","2025-11-26T12:04:42.399Z"
