"id","recommendationType","scenario","recommendations","selectedStrategy","selectedStrategyId","implementedAt","implementedBy","results","profitActual","profitPredicted","variance","feedback","createdAt","updatedAt"
"cmifyj7bo0ice2o7gosn6zos4","OPERATIONAL","{""shift"":""PAGI"",""weather"":""SUNNY"",""truckAvailable"":10,""targetProduction"":7668}","[{""rank"":1,""score"":0.9,""strategy"":""Strategy A""},{""rank"":2,""score"":0.8,""strategy"":""Strategy B""},{""rank"":3,""score"":0.7,""strategy"":""Strategy C""}]",,,,,,,45525152.32732932,,,"2025-11-26T12:04:47.701Z","2025-11-26T12:04:47.701Z"
"cmifyj7br0icg2o7gri8ok18t","OPERATIONAL","{""shift"":""SIANG"",""weather"":""CLOUDY"",""truckAvailable"":12,""targetProduction"":7647}","[{""rank"":1,""score"":0.9,""strategy"":""Strategy A""},{""rank"":2,""score"":0.8,""strategy"":""Strategy B""},{""rank"":3,""score"":0.7,""strategy"":""Strategy C""}]",2,"STRAT-1","2025-10-20T00:11:47.191Z","cmifyishy00012o7g5f3sqd4j","{""efficiency"":0.803732773300403,""production"":7056}",44385279.88655666,52846895.36746754,-16.01156590576149,"Good recommendation, implemented successfully","2025-11-26T12:04:47.704Z","2025-11-26T12:04:47.704Z"
"cmifyj7bt0ici2o7glemvko88","STRATEGIC","{""shift"":""PAGI"",""weather"":""SUNNY"",""truckAvailable"":12,""targetProduction"":5881}","[{""rank"":1,""score"":0.9,""strategy"":""Strategy A""},{""rank"":2,""score"":0.8,""strategy"":""Strategy B""},{""rank"":3,""score"":0.7,""strategy"":""Strategy C""}]",1,"STRAT-2","2025-10-07T21:53:47.303Z","cmifyisi000022o7gx8n20wsn","{""efficiency"":0.8791631611274455,""production"":3458}",46047371.37322224,42051598.73684423,9.502070685548153,,"2025-11-26T12:04:47.706Z","2025-11-26T12:04:47.706Z"
"cmifyj7bv0ick2o7g0ndq0j5w","MAINTENANCE","{""shift"":""MALAM"",""weather"":""RAINY"",""truckAvailable"":13,""targetProduction"":4324}","[{""rank"":1,""score"":0.9,""strategy"":""Strategy A""},{""rank"":2,""score"":0.8,""strategy"":""Strategy B""},{""rank"":3,""score"":0.7,""strategy"":""Strategy C""}]",2,"STRAT-3","2025-11-15T04:53:35.098Z","cmifyisi200032o7gon1xznii","{""efficiency"":0.9298742199763461,""production"":4392}",7277023.015647399,7570818.588182888,-3.880631521062562,"Good recommendation, implemented successfully","2025-11-26T12:04:47.708Z","2025-11-26T12:04:47.708Z"
"cmifyj7bx0icm2o7gnv4a9749","MAINTENANCE","{""shift"":""SIANG"",""weather"":""SUNNY"",""truckAvailable"":18,""targetProduction"":4809}","[{""rank"":1,""score"":0.9,""strategy"":""Strategy A""},{""rank"":2,""score"":0.8,""strategy"":""Strategy B""},{""rank"":3,""score"":0.7,""strategy"":""Strategy C""}]",,,,,,,44410086.03830226,,,"2025-11-26T12:04:47.709Z","2025-11-26T12:04:47.709Z"
"cmifyj7by0ico2o7gsyqzyaio","MAINTENANCE","{""shift"":""MALAM"",""weather"":""RAINY"",""truckAvailable"":14,""targetProduction"":3195}","[{""rank"":1,""score"":0.9,""strategy"":""Strategy A""},{""rank"":2,""score"":0.8,""strategy"":""Strategy B""},{""rank"":3,""score"":0.7,""strategy"":""Strategy C""}]",0,"STRAT-5","2025-10-10T19:52:40.273Z","cmifyisi500052o7gjr2z6c0w","{""efficiency"":0.8057107791643908,""production"":4418}",58489772.44166993,49370584.65311046,18.47089284567535,"Good recommendation, implemented successfully","2025-11-26T12:04:47.711Z","2025-11-26T12:04:47.711Z"
"cmifyj7c00icq2o7gg3knpknu","OPERATIONAL","{""shift"":""MALAM"",""weather"":""SUNNY"",""truckAvailable"":19,""targetProduction"":6418}","[{""rank"":1,""score"":0.9,""strategy"":""Strategy A""},{""rank"":2,""score"":0.8,""strategy"":""Strategy B""},{""rank"":3,""score"":0.7,""strategy"":""Strategy C""}]",,,,,,,41203763.30063719,,,"2025-11-26T12:04:47.712Z","2025-11-26T12:04:47.712Z"
"cmifyj7c20ics2o7gy34br83t","MAINTENANCE","{""shift"":""MALAM"",""weather"":""CLOUDY"",""truckAvailable"":19,""targetProduction"":3719}","[{""rank"":1,""score"":0.9,""strategy"":""Strategy A""},{""rank"":2,""score"":0.8,""strategy"":""Strategy B""},{""rank"":3,""score"":0.7,""strategy"":""Strategy C""}]",,,,,,,5424064.710442173,,,"2025-11-26T12:04:47.714Z","2025-11-26T12:04:47.714Z"
"cmifyj7c30icu2o7gbcus9r08","MAINTENANCE","{""shift"":""MALAM"",""weather"":""SUNNY"",""truckAvailable"":13,""targetProduction"":6457}","[{""rank"":1,""score"":0.9,""strategy"":""Strategy A""},{""rank"":2,""score"":0.8,""strategy"":""Strategy B""},{""rank"":3,""score"":0.7,""strategy"":""Strategy C""}]",2,"STRAT-8","2025-10-15T02:58:36.827Z","cmifyisi900082o7gsxp3c3z5","{""efficiency"":0.89553608330001,""production"":3657}",57556187.21630007,50745408.34257053,13.42146825925914,"Good recommendation, implemented successfully","2025-11-26T12:04:47.715Z","2025-11-26T12:04:47.715Z"
"cmifyj7c50icw2o7gmna5469a","MAINTENANCE","{""shift"":""MALAM"",""weather"":""RAINY"",""truckAvailable"":13,""targetProduction"":4417}","[{""rank"":1,""score"":0.9,""strategy"":""Strategy A""},{""rank"":2,""score"":0.8,""strategy"":""Strategy B""},{""rank"":3,""score"":0.7,""strategy"":""Strategy C""}]",1,"STRAT-9","2025-11-11T06:39:15.110Z","cmifyisia00092o7ggou2cuom","{""efficiency"":0.8641470952052392,""production"":5220}",45355817.00659759,43662327.04551595,3.87860674332876,,"2025-11-26T12:04:47.717Z","2025-11-26T12:04:47.717Z"
