"id","scheduleNumber","vesselId","voyageNumber","loadingPort","destination","etaLoading","etsLoading","etaDestination","ataLoading","loadingStart","loadingComplete","atsLoading","ataDestination","plannedQuantity","actualQuantity","buyer","contractNumber","status","remarks","createdAt","updatedAt"
"cmifyiyrd07822o7gzvsmcphg","SCH-0000001","cmifyixrp06ap2o7gidtsecdr","VY-00001","Banjarmasin","Paiton","2025-10-07T12:04:36.598Z","2025-10-08T11:54:20.751Z","2025-10-10T12:21:48.931Z","2025-10-07T10:35:56.153Z","2025-10-07T12:05:59.806Z",,,"2025-10-10T13:49:04.502Z",16820.99634409104,17098.98418351308,"PLN","CN-7084","CANCELLED",,"2025-11-26T12:04:36.602Z","2025-11-26T12:04:36.602Z"
"cmifyiyrh07842o7gv5q6khym","SCH-0000002","cmifyixrr06aq2o7g0wpon9t1","VY-00002","Sangatta","Merak","2025-10-05T12:04:36.598Z","2025-10-05T23:01:09.561Z","2025-10-07T17:43:18.016Z",,"2025-10-05T13:56:42.244Z","2025-10-05T23:01:09.561Z","2025-10-05T23:07:12.651Z",,14415.29031761812,13790.0526674443,"PLN","CN-3884","LOADING",,"2025-11-26T12:04:36.605Z","2025-11-26T12:04:36.605Z"
"cmifyiyrj07862o7g4boqan3r","SCH-0000003","cmifyixrs06ar2o7g1we921pb","VY-00003","Muara Pantai","Paiton","2025-10-19T12:04:36.598Z","2025-10-20T05:44:43.410Z","2025-10-24T03:44:08.482Z","2025-10-19T12:49:51.857Z","2025-10-19T12:12:45.909Z","2025-10-20T05:44:43.410Z",,"2025-10-24T02:42:31.528Z",14754.13828468619,15063.9391310981,"PLN","CN-6092","STANDBY",,"2025-11-26T12:04:36.607Z","2025-11-26T12:04:36.607Z"
"cmifyiyrl07882o7gpy6cep2c","SCH-0000004","cmifyixru06as2o7gfnj5nyyl","VY-00004","Sangatta","Tanjung Priok","2025-10-04T12:04:36.598Z","2025-10-05T00:41:04.295Z","2025-10-06T09:39:21.731Z","2025-10-04T12:26:12.243Z","2025-10-04T13:51:19.837Z","2025-10-05T00:41:04.295Z",,,11847.54588390571,,"PLN","CN-3730","DISCHARGING",,"2025-11-26T12:04:36.609Z","2025-11-26T12:04:36.609Z"
"cmifyiyrm078a2o7gjgjvi6i6","SCH-0000005","cmifyixrw06at2o7g7bm14qtw","VY-00005","Samarinda","Merak","2025-11-24T12:04:36.598Z","2025-11-25T04:33:32.535Z","2025-11-26T21:26:39.975Z","2025-11-24T13:46:44.086Z","2025-11-24T12:06:55.646Z",,"2025-11-25T04:28:59.118Z","2025-11-26T23:43:07.309Z",9066.273854425019,9153.115534979259,"PT Pupuk Indonesia","CN-2780","LOADING",,"2025-11-26T12:04:36.610Z","2025-11-26T12:04:36.610Z"
"cmifyiyro078c2o7g0yny69t3","SCH-0000006","cmifyixrx06au2o7gg7e3aotd","VY-00006","Balikpapan","Paiton","2025-11-04T12:04:36.598Z","2025-11-05T06:54:06.646Z","2025-11-06T08:34:05.033Z","2025-11-04T12:54:18.303Z","2025-11-04T12:46:31.256Z","2025-11-05T06:54:06.646Z","2025-11-05T07:39:53.248Z",,8324.941903972884,8160.558513586948,"PT Semen Indonesia","CN-4380","DISCHARGING",,"2025-11-26T12:04:36.612Z","2025-11-26T12:04:36.612Z"
"cmifyiyrp078e2o7gf20qvbm9","SCH-0000007","cmifyixry06av2o7gzgna0fxb","VY-00007","Balikpapan","Cilacap","2025-11-08T12:04:36.598Z","2025-11-09T11:11:07.944Z","2025-11-11T15:28:31.324Z","2025-11-08T11:39:01.775Z","2025-11-08T13:42:05.265Z","2025-11-09T11:11:07.944Z","2025-11-09T11:44:39.871Z",,13004.66979192947,12807.47784038126,"PT Petrokimia","CN-1007","COMPLETED",,"2025-11-26T12:04:36.614Z","2025-11-26T12:04:36.614Z"
"cmifyiyrr078g2o7gd0oad9k1","SCH-0000008","cmifyixrz06aw2o7gvs1h5cv0","VY-00008","Tanjung Bara","Tanjung Priok","2025-11-01T12:04:36.598Z","2025-11-02T03:18:02.725Z","2025-11-03T22:18:40.295Z",,,,,"2025-11-04T00:09:43.410Z",15310.19977687951,,"PT Steel Indonesia","CN-7177","SCHEDULED",,"2025-11-26T12:04:36.615Z","2025-11-26T12:04:36.615Z"
"cmifyiyrs078i2o7gweoivznf","SCH-0000009","cmifyixs006ax2o7gchwxe6bw","VY-00009","Balikpapan","Merak","2025-10-31T12:04:36.598Z","2025-11-01T04:52:51.378Z","2025-11-03T04:45:34.372Z","2025-10-31T11:36:17.289Z",,,"2025-11-01T04:10:42.605Z",,7680.763106751175,7879.538504187661,"PT Semen Indonesia","CN-1523","LOADING",,"2025-11-26T12:04:36.617Z","2025-11-26T12:04:36.617Z"
"cmifyiyru078k2o7ggxdu38dh","SCH-0000010","cmifyixs106ay2o7goslfabzu","VY-00010","Tarakan","Lontar","2025-09-28T12:04:36.598Z","2025-09-29T00:36:27.319Z","2025-10-02T08:38:11.929Z","2025-09-28T12:07:41.931Z","2025-09-28T12:42:06.172Z","2025-09-29T00:36:27.319Z","2025-09-29T00:28:44.414Z","2025-10-02T06:13:55.124Z",11400.59519833045,11418.47854270596,"PT Pupuk Indonesia","CN-8395","COMPLETED",,"2025-11-26T12:04:36.618Z","2025-11-26T12:04:36.618Z"
