"id","shipmentNumber","vesselId","sailingScheduleId","shipmentDate","loadingDate","coalType","quantity","calorie","totalMoisture","ashContent","sulfurContent","stockpileOrigin","buyer","destination","surveyorName","blNumber","coaNumber","freightCost","totalFreight","remarks","createdAt","updatedAt"
"cmifyizhc085e2o7g9ijk9tvx","SHP-0000001","cmifyixrp06ap2o7gidtsecdr","cmifyiyrd07822o7gzvsmcphg","2025-11-17T12:04:37.533Z","2025-11-17T14:15:24.996Z","GCV-6000",17748.3655424093,5043.402645079247,19.53795800768442,7.55113448060629,0.4102639342255238,"ROM-PIT-10","PT Semen Indonesia","Gresik","Surveyor Marine","BL-51500","COA-22826",13.62568283511213,241833.5997225019,,"2025-11-26T12:04:37.536Z","2025-11-26T12:04:37.536Z"
"cmifyizhf085g2o7gn4pzbrqa","SHP-0000002","cmifyixrr06aq2o7g0wpon9t1","cmifyiyrh07842o7gv5q6khym","2025-11-06T12:04:37.533Z","2025-11-06T19:01:26.931Z","ICI-1",14797.61213252203,5865.020296083057,9.698029636647561,6.054488578495091,0.3493780388220236,"ROM-PIT-04","PT Semen Indonesia","Tanjung Priok","Surveyor AB","BL-79681","COA-36791",10.59706081597182,156811.1956994984,,"2025-11-26T12:04:37.540Z","2025-11-26T12:04:37.540Z"
"cmifyizhh085i2o7ghxe3kwcm","SHP-0000003","cmifyixrs06ar2o7g1we921pb","cmifyiyrj07862o7g4boqan3r","2025-10-13T12:04:37.533Z","2025-10-13T18:24:42.735Z","GCV-6000",13994.19671507649,5486.770212993722,16.46811414920906,4.087319681565845,0.5595802438532376,"ROM-PIT-04","PT Semen Indonesia","Cilacap","Surveyor Marine","BL-83109","COA-46474",12.04392304356565,168545.0282929005,,"2025-11-26T12:04:37.541Z","2025-11-26T12:04:37.541Z"
"cmifyizhj085k2o7g5d70l5fd","SHP-0000004","cmifyixru06as2o7gfnj5nyyl","cmifyiyrl07882o7gpy6cep2c","2025-10-04T12:04:37.533Z","2025-10-04T16:10:13.852Z","ICI-3",11662.7808883975,4509.573499656868,8.525056669042467,9.232458855148773,0.3330903229885056,"ROM-PIT-02","PT Semen Indonesia","Paiton","Surveyor PTX","BL-17415","COA-11245",13.19920697710283,153939.4588745579,,"2025-11-26T12:04:37.543Z","2025-11-26T12:04:37.543Z"
"cmifyizhl085m2o7gy65kq3nf","SHP-0000005","cmifyixrw06at2o7g7bm14qtw","cmifyiyrm078a2o7gjgjvi6i6","2025-11-09T12:04:37.533Z","2025-11-09T23:44:30.580Z","GCV-5500",8895.046540449815,4891.4875485933,14.42433357969206,9.991244243810009,0.4410741792335501,"ROM-PIT-01","PT Semen Indonesia","Merak","Surveyor PTX","BL-76013","COA-90245",20.277187699157,180366.5282934381,,"2025-11-26T12:04:37.545Z","2025-11-26T12:04:37.545Z"
"cmifyizhm085o2o7gfn9a2kwl","SHP-0000006","cmifyixrx06au2o7gg7e3aotd","cmifyiyro078c2o7g0yny69t3","2025-10-18T12:04:37.533Z","2025-10-18T13:59:34.653Z","GCV-5500",8413.470936026564,5514.622173691829,9.102628151670347,11.6215650251778,0.7031031035274928,"ROM-PIT-10","PT Semen Indonesia","Lontar","Surveyor AB","BL-25204","COA-52431",17.38521091620061,146269.9667601456,,"2025-11-26T12:04:37.547Z","2025-11-26T12:04:37.547Z"
"cmifyizho085q2o7g8k8cfjub","SHP-0000007","cmifyixry06av2o7gzgna0fxb","cmifyiyrp078e2o7gf20qvbm9","2025-11-11T12:04:37.533Z","2025-11-11T23:48:17.881Z","GCV-5000",13353.97727874837,5163.227997023344,15.41734767384225,10.79288669479382,0.3359697215380232,"ROM-PIT-10","PT Pupuk Indonesia","Gresik","Surveyor Geo","BL-47293","COA-24791",24.3099149993288,324634.052549341,,"2025-11-26T12:04:37.548Z","2025-11-26T12:04:37.548Z"
"cmifyizhp085s2o7gtwhlqyf5","SHP-0000008","cmifyixrz06aw2o7gvs1h5cv0","cmifyiyrr078g2o7gd0oad9k1","2025-10-11T12:04:37.533Z","2025-10-11T19:16:33.841Z","ICI-2",16860.11008851046,5425.416223935718,8.377708922580638,4.610838079993798,0.6176362988643611,"ROM-PIT-04","PT Steel Indonesia","Paiton","Surveyor Marine","BL-34025","COA-78570",10.86195543370162,183133.7643887037,,"2025-11-26T12:04:37.550Z","2025-11-26T12:04:37.550Z"
"cmifyizhr085u2o7gwcu9ej2c","SHP-0000009","cmifyixs006ax2o7gchwxe6bw","cmifyiyrs078i2o7gweoivznf","2025-10-19T12:04:37.533Z","2025-10-19T16:20:48.552Z","GCV-5000",8009.34286750031,5891.916080755707,18.31019284640158,7.300740347454379,0.3658683745179586,"ROM-PIT-10","PT Steel Indonesia","Lontar","Surveyor PTX","BL-82200","COA-85155",14.29438115898463,114488.5997810444,,"2025-11-26T12:04:37.551Z","2025-11-26T12:04:37.551Z"
"cmifyizht085w2o7gxrco0glj","SHP-0000010","cmifyixs106ay2o7goslfabzu","cmifyiyru078k2o7ggxdu38dh","2025-11-02T12:04:37.533Z","2025-11-02T19:28:32.251Z","ICI-3",10466.80149685044,5807.693755331416,9.991121147421442,6.495481697531629,0.7699263278057713,"ROM-PIT-04","PT Petrokimia","Lontar","Surveyor Geo","BL-57109","COA-52144",12.16886245631352,127369.0677727094,,"2025-11-26T12:04:37.553Z","2025-11-26T12:04:37.553Z"
"cmifyizhv085y2o7g1blaaiy9","SHP-0000011","cmifyixs206az2o7g8ntz9dbl","cmifyiyrw078m2o7gdqqzdvhl","2025-10-21T12:04:37.533Z","2025-10-21T23:00:03.010Z","GCV-6000",14431.41504846577,4954.259459061219,11.99580665907457,11.64371330478416,0.626949602985293,"ROM-PIT-10","PT Pupuk Indonesia","Suralaya","Surveyor Geo","BL-42287","COA-19940",24.05550741248473,347155.0116710121,,"2025-11-26T12:04:37.555Z","2025-11-26T12:04:37.555Z"
"cmifyizhw08602o7g70ypejzq","SHP-0000012","cmifyixs306b02o7ggs7tf39p","cmifyiyrx078o2o7gklro8aqr","2025-11-15T12:04:37.533Z","2025-11-15T20:44:10.466Z","ICI-2",7838.692623695295,5421.975549526481,13.25126308953934,9.684795364718681,0.3782768873495448,"ROM-PIT-05","PT Pupuk Indonesia","Gresik","Surveyor PTX","BL-10321","COA-49085",15.67882955797456,122901.525604271,,"2025-11-26T12:04:37.557Z","2025-11-26T12:04:37.557Z"
"cmifyizhy08622o7gytr6lyii","SHP-0000013","cmifyixs406b12o7g95yxzmym","cmifyiyrz078q2o7gzhku0pa3","2025-11-06T12:04:37.533Z","2025-11-06T17:37:25.772Z","ICI-2",19004.51069943771,4512.961932283124,19.16722723631224,11.8970252799955,0.7117517317203066,"ROM-PIT-04","PLN","Tanjung Priok","Surveyor Marine","BL-46794","COA-65944",23.39759795446197,444659.9006667145,,"2025-11-26T12:04:37.558Z","2025-11-26T12:04:37.558Z"
"cmifyizi008642o7gzv2g8zlh","SHP-0000014","cmifyixs506b22o7g41bkc516","cmifyiys0078s2o7gaeg0bk8o","2025-10-23T12:04:37.533Z","2025-10-23T23:30:25.780Z","ICI-4",9652.591868841173,5540.864431201956,12.31967238274709,11.8208225460347,0.350444309691182,"ROM-PIT-09","PLN","Gresik","Surveyor Inspec","BL-58690","COA-23988",15.19447689306088,146666.0841092545,,"2025-11-26T12:04:37.560Z","2025-11-26T12:04:37.560Z"
"cmifyizi108662o7gwfa32uov","SHP-0000015","cmifyixs606b32o7gd5wkprww","cmifyiys2078u2o7gnxcbdkde","2025-11-04T12:04:37.533Z","2025-11-04T12:59:06.927Z","ICI-4",11203.50796493883,4512.738880678417,9.942253667710647,8.339662675317838,0.3763391429239438,"ROM-PIT-07","PT Pupuk Indonesia","Tanjung Priok","Surveyor AB","BL-92325","COA-84396",14.58887844967969,163446.6159105108,,"2025-11-26T12:04:37.561Z","2025-11-26T12:04:37.561Z"
"cmifyizi208682o7ggiyb2ed3","SHP-0000016","cmifyixs706b42o7gbyhqvfz3","cmifyiys3078w2o7g1p7zy6h3","2025-11-18T12:04:37.533Z","2025-11-18T23:46:25.531Z","ICI-4",12470.07935138305,5888.310244269312,13.53507670741755,11.41369162238374,0.4957310601202136,"ROM-PIT-01","PLN","Lontar","Surveyor Inspec","BL-15087","COA-90667",16.77714787431739,209212.3652826253,,"2025-11-26T12:04:37.563Z","2025-11-26T12:04:37.563Z"
"cmifyizi4086a2o7gbjvratti","SHP-0000017","cmifyixs906b52o7ghqnkpwdk","cmifyiys5078y2o7g22kfdlxu","2025-10-15T12:04:37.533Z","2025-10-15T19:10:09.741Z","ICI-4",12460.96569363575,4570.466224489939,18.97704268084511,11.54476108834475,0.4409870736961679,"ROM-PIT-02","PT Steel Indonesia","Cilacap","Surveyor Marine","BL-20985","COA-73451",20.44147619539608,254720.5335981024,,"2025-11-26T12:04:37.564Z","2025-11-26T12:04:37.564Z"
"cmifyizi5086c2o7gl9w1z987","SHP-0000018","cmifyixsa06b62o7g8iaplo5p","cmifyiys607902o7gx9zeo9qs","2025-11-19T12:04:37.533Z","2025-11-19T16:21:55.177Z","ICI-3",15588.51695088918,5222.709770835995,15.54603329390369,11.60733718715909,0.6235164334494985,"ROM-PIT-09","PT Pupuk Indonesia","Cilacap","Surveyor Marine","BL-92073","COA-77833",16.0137477751064,249630.5786395101,,"2025-11-26T12:04:37.566Z","2025-11-26T12:04:37.566Z"
"cmifyizi7086e2o7gbbi39ogq","SHP-0000019","cmifyixsc06b72o7gwh8lhhb6","cmifyiys807922o7gxbfjev23","2025-10-06T12:04:37.533Z","2025-10-06T21:32:17.939Z","ICI-1",13671.09906397787,4952.793713587876,12.82638507472228,10.69758193093148,0.4610701232530653,"ROM-PIT-09","PT Semen Indonesia","Gresik","Surveyor Geo","BL-22262","COA-55780",16.96863350085615,231979.869570538,,"2025-11-26T12:04:37.567Z","2025-11-26T12:04:37.567Z"
"cmifyizi8086g2o7gnbu08iwe","SHP-0000020","cmifyixsd06b82o7gu6b50i06","cmifyiys907942o7gdxlr14m6","2025-11-08T12:04:37.533Z","2025-11-08T19:28:45.405Z","GCV-5500",18773.03471430565,4865.277456565378,15.82289217538564,4.280507477453392,0.535173210810588,"ROM-PIT-09","PLN","Gresik","Surveyor PTX","BL-34730","COA-85780",13.13890157574142,246657.055389239,,"2025-11-26T12:04:37.569Z","2025-11-26T12:04:37.569Z"
