"id","code","name","equipmentType","brand","model","status","lastMaintenance","totalHours","isActive","createdAt","updatedAt"
"cmifyixa805u12o7g6imwi1mg","SUP-0001","Shantui DOZER-001","DOZER","Shantui","SHA534","IDLE","2025-10-14T12:04:34.686Z",20393,true,"2025-11-26T12:04:34.689Z","2025-11-26T12:04:34.689Z"
"cmifyixab05u22o7g9napazyd","SUP-0002","Caterpillar DOZER-002","DOZER","Caterpillar","CAT498","IDLE","2025-11-10T12:04:34.686Z",2612,true,"2025-11-26T12:04:34.691Z","2025-11-26T12:04:34.691Z"
"cmifyixac05u32o7gsv1jddbp","SUP-0003","Komatsu FUEL_TRUCK-003","FUEL_TRUCK","Komatsu","KOM121","ACTIVE","2025-10-22T12:04:34.686Z",11358,true,"2025-11-26T12:04:34.692Z","2025-11-26T12:04:34.692Z"
"cmifyixad05u42o7g57jdvb64","SUP-0004","JCB FUEL_TRUCK-004","FUEL_TRUCK","JCB","JCB677","IDLE","2025-10-25T12:04:34.686Z",25104,true,"2025-11-26T12:04:34.693Z","2025-11-26T12:04:34.693Z"
"cmifyixae05u52o7gzt8jeo3d","SUP-0005","Caterpillar LIGHT_VEHICLE-005","LIGHT_VEHICLE","Caterpillar","CAT450","IDLE","2025-11-25T12:04:34.686Z",2837,true,"2025-11-26T12:04:34.694Z","2025-11-26T12:04:34.694Z"
"cmifyixaf05u62o7g3l264c4b","SUP-0006","XCMG DOZER-006","DOZER","XCMG","XCM746","BREAKDOWN","2025-11-05T12:04:34.686Z",23685,true,"2025-11-26T12:04:34.695Z","2025-11-26T12:04:34.695Z"
"cmifyixag05u72o7gs1jz5xrk","SUP-0007","Caterpillar WATER_TRUCK-007","WATER_TRUCK","Caterpillar","CAT823","ACTIVE","2025-11-10T12:04:34.686Z",25021,true,"2025-11-26T12:04:34.696Z","2025-11-26T12:04:34.696Z"
"cmifyixah05u82o7ghn115z1o","SUP-0008","Volvo LIGHT_VEHICLE-008","LIGHT_VEHICLE","Volvo","VOL341","ACTIVE","2025-11-10T12:04:34.686Z",23159,true,"2025-11-26T12:04:34.698Z","2025-11-26T12:04:34.698Z"
"cmifyixai05u92o7gycvao3gy","SUP-0009","XCMG COMPACTOR-009","COMPACTOR","XCMG","XCM943","MAINTENANCE","2025-11-02T12:04:34.686Z",2541,true,"2025-11-26T12:04:34.698Z","2025-11-26T12:04:34.698Z"
"cmifyixaj05ua2o7g4ctkn0rv","SUP-0010","Caterpillar GRADER-010","GRADER","Caterpillar","CAT457","MAINTENANCE","2025-10-24T12:04:34.686Z",20456,true,"2025-11-26T12:04:34.699Z","2025-11-26T12:04:34.699Z"
"cmifyixak05ub2o7gapvc4mx1","SUP-0011","XCMG COMPACTOR-011","COMPACTOR","XCMG","XCM670","MAINTENANCE","2025-10-24T12:04:34.686Z",3284,true,"2025-11-26T12:04:34.700Z","2025-11-26T12:04:34.700Z"
