"id","code","name","vesselType","gt","dwt","loa","capacity","owner","isOwned","status","currentLocation","isActive","remarks","createdAt","updatedAt"
"cmifyixrp06ap2o7gidtsecdr","MV-0001","MV Lontar Indah","MOTHER_VESSEL",14372.6866458593,22834.44768504035,124.567741016151,19349.07873981677,"PT Ocean Line",true,"MAINTENANCE","Tanjung Bara",true,,"2025-11-26T12:04:35.317Z","2025-11-26T12:04:35.317Z"
"cmifyixrr06aq2o7g0wpon9t1","MV-0002","MV Samudera Mulia","MOTHER_VESSEL",6263.633420348185,12868.88390808592,138.5292819157137,16490.33058465118,"PT Shipping Indonesia",false,"SAILING","Muara Pantai",true,,"2025-11-26T12:04:35.319Z","2025-11-26T12:04:35.319Z"
"cmifyixrs06ar2o7g1we921pb","MV-0003","MV Barito Mulia","MOTHER_VESSEL",7278.072913972484,12911.03099102406,118.7644418158626,16296.1626231302,"PT Tambang Nusantara",true,"DISCHARGING","Sangatta",true,,"2025-11-26T12:04:35.321Z","2025-11-26T12:04:35.321Z"
"cmifyixru06as2o7gfnj5nyyl","MV-0004","MV Maritim Mulia","MOTHER_VESSEL",6563.207442658306,8470.877360565104,139.344791096333,13718.35069970795,"PT Marine Services",true,"CHARTERED","Samarinda",true,,"2025-11-26T12:04:35.322Z","2025-11-26T12:04:35.322Z"
"cmifyixrw06at2o7g7bm14qtw","MV-0005","MV Kalimantan Jaya","MOTHER_VESSEL",8898.365082674742,10405.50799398685,100.5255441156825,10447.30747722058,"PT Ocean Line",true,"MAINTENANCE","Surabaya",true,,"2025-11-26T12:04:35.324Z","2025-11-26T12:04:35.324Z"
"cmifyixrx06au2o7gg7e3aotd","MV-0006","MV Nusantara Jaya","MOTHER_VESSEL",13641.18880872956,13813.4176539784,149.8829091202946,9245.95818737406,"PT Shipping Indonesia",true,"CHARTERED","Tanjung Bara",true,,"2025-11-26T12:04:35.325Z","2025-11-26T12:04:35.325Z"
"cmifyixry06av2o7gzgna0fxb","MV-0007","MV Samudera Kencana","MOTHER_VESSEL",5179.767087657748,15109.75271251523,154.280326980904,14091.26653535827,"PT Marine Services",true,"AVAILABLE","Kariangau",true,,"2025-11-26T12:04:35.326Z","2025-11-26T12:04:35.326Z"
"cmifyixrz06aw2o7gvs1h5cv0","MV-0008","MV Barito Sentosa","MOTHER_VESSEL",14851.30344047594,15813.87385530226,118.3049227287924,17792.48314705579,"PT Tambang Nusantara",true,"MAINTENANCE","Balikpapan",true,,"2025-11-26T12:04:35.327Z","2025-11-26T12:04:35.327Z"
"cmifyixs006ax2o7gchwxe6bw","MV-0009","MV Barito Sentosa","MOTHER_VESSEL",10432.55172578559,10382.8685861118,175.1785309301688,8752.113293910796,"PT Tambang Nusantara",false,"CHARTERED","Samarinda",true,,"2025-11-26T12:04:35.328Z","2025-11-26T12:04:35.328Z"
"cmifyixs106ay2o7goslfabzu","MV-0010","MV Kapuas Kencana","MOTHER_VESSEL",9408.57151160287,22792.19524198338,127.4610887200539,12038.15053781293,"PT Chartersindo",true,"AVAILABLE","Surabaya",true,,"2025-11-26T12:04:35.330Z","2025-11-26T12:04:35.330Z"
"cmifyixs206az2o7g8ntz9dbl","MV-0011","MV Maritim Prima","MOTHER_VESSEL",7381.791253559191,10399.32149788814,152.6685022006168,15468.97673519431,"PT Tambang Nusantara",true,"SAILING","Samarinda",true,,"2025-11-26T12:04:35.331Z","2025-11-26T12:04:35.331Z"
"cmifyixs306b02o7ggs7tf39p","MV-0012","MV Kalimantan Kencana","MOTHER_VESSEL",14585.98620601297,9284.145283178197,155.7157070477858,8871.357059441294,"PT Ocean Line",true,"SAILING","Jakarta",true,,"2025-11-26T12:04:35.332Z","2025-11-26T12:04:35.332Z"
"cmifyixs406b12o7g95yxzmym","MV-0013","MV Nusantara Sejahtera","MOTHER_VESSEL",8667.736907832741,16010.40704624755,153.9928863041061,21818.08873302361,"PT Tambang Nusantara",true,"CHARTERED","Surabaya",true,,"2025-11-26T12:04:35.333Z","2025-11-26T12:04:35.333Z"
"cmifyixs506b22o7g41bkc516","MV-0014","MV Nusantara Utama","MOTHER_VESSEL",9995.781001178457,17429.98663240578,152.6529928822671,10235.65646803119,"PT Tambang Nusantara",false,"MAINTENANCE","Jakarta",true,,"2025-11-26T12:04:35.334Z","2025-11-26T12:04:35.334Z"
"cmifyixs606b32o7gd5wkprww","MV-0015","MV Lontar Abadi","MOTHER_VESSEL",5308.166614194803,14992.12377310645,176.6263057854545,12316.74262074152,"PT Ocean Line",true,"SAILING","Balikpapan",true,,"2025-11-26T12:04:35.335Z","2025-11-26T12:04:35.335Z"
"cmifyixs706b42o7gbyhqvfz3","MV-0016","MV Barito Makmur","MOTHER_VESSEL",9115.04704785908,19425.3543109141,155.6931028354865,14113.20228190382,"PT Chartersindo",true,"AVAILABLE","Surabaya",true,,"2025-11-26T12:04:35.336Z","2025-11-26T12:04:35.336Z"
"cmifyixs906b52o7ghqnkpwdk","MV-0017","MV Samudera Kencana","MOTHER_VESSEL",11060.44840955214,19062.95563847858,106.4293308360998,14596.80121656662,"PT Marine Services",false,"AVAILABLE","Kariangau",true,,"2025-11-26T12:04:35.337Z","2025-11-26T12:04:35.337Z"
