"id","code","name","brand","model","yearManufacture","capacity","fuelCapacity","status","lastMaintenance","nextMaintenance","totalHours","totalDistance","currentOperatorId","currentLocation","isActive","purchaseDate","retirementDate","remarks","createdAt","updatedAt"
"cmifyivz704g22o7gt1eitywh","HD-0001","Volvo FM440-001","Volvo","FM440",2024,37,388,"HAULING","2025-10-22T12:04:32.991Z","2025-11-21T12:04:32.991Z",4494,76524,,"PIT-03",true,"2024-11-11T17:00:00.000Z",,,"2025-11-26T12:04:32.995Z","2025-11-26T12:04:32.995Z"
"cmifyivz904g42o7gsg0z036g","HD-0002","Volvo FH540-002","Volvo","FH540",2016,28,367,"DUMPING","2025-11-04T12:04:32.991Z","2025-12-04T12:04:32.991Z",33189,502083,"cmifyivgl03pg2o7gq85ju7o9","Crusher",true,"2016-03-16T17:00:00.000Z",,"Fleet A","2025-11-26T12:04:32.997Z","2025-11-26T12:04:32.997Z"
"cmifyivzb04g62o7g01pbxv7p","HD-0003","Mercedes-Benz Actros 4144-003","Mercedes-Benz","Actros 4144",2017,37,405,"REFUELING","2025-11-10T12:04:32.991Z","2025-12-10T12:04:32.991Z",29475,443207,,"PIT-01",true,"2017-06-25T17:00:00.000Z",,,"2025-11-26T12:04:32.999Z","2025-11-26T12:04:32.999Z"
"cmifyivzc04g82o7g3527hbhj","HD-0004","Mercedes-Benz Axor 3340-004","Mercedes-Benz","Axor 3340",2015,26,311,"MAINTENANCE","2025-10-20T12:04:32.991Z","2025-11-19T12:04:32.991Z",35708,542039,,"PIT-01",true,"2015-03-03T17:00:00.000Z",,"Fleet A","2025-11-26T12:04:33.001Z","2025-11-26T12:04:33.001Z"
"cmifyivze04ga2o7g4ds289sm","HD-0005","Mitsubishi Fuso FM517HS-005","Mitsubishi Fuso","FM517HS",2022,33,408,"HAULING","2025-10-28T12:04:32.991Z","2025-11-27T12:04:32.991Z",11703,179158,"cmifyivgq03pm2o7ghqy2rh8h","Crusher",true,"2022-03-24T17:00:00.000Z",,,"2025-11-26T12:04:33.002Z","2025-11-26T12:04:33.002Z"
"cmifyivzg04gc2o7gp56g5kry","HD-0006","Hino Profia FM320-006","Hino","Profia FM320",2017,39,328,"HAULING","2025-11-20T12:04:32.991Z","2025-12-20T12:04:32.991Z",29665,454409,"cmifyivgs03po2o7gg4est9mo","Pool",true,"2017-04-11T17:00:00.000Z",,,"2025-11-26T12:04:33.004Z","2025-11-26T12:04:33.004Z"
"cmifyivzi04ge2o7gojjs9hmm","HD-0007","Hino FM285JM-007","Hino","FM285JM",2021,22,266,"REFUELING","2025-10-29T12:04:32.991Z","2025-11-28T12:04:32.991Z",15063,231374,"cmifyivgt03pq2o7gn7qdyvdl","Workshop",true,"2021-04-26T17:00:00.000Z",,,"2025-11-26T12:04:33.006Z","2025-11-26T12:04:33.006Z"
"cmifyivzk04gg2o7g1qgillqi","HD-0008","Hino FM285JM-008","Hino","FM285JM",2023,28,267,"REFUELING","2025-10-29T12:04:32.991Z","2025-11-28T12:04:32.991Z",8610,130384,"cmifyivgv03ps2o7gxpd0y2nz","ROM-02",true,"2023-06-14T17:00:00.000Z",,,"2025-11-26T12:04:33.008Z","2025-11-26T12:04:33.008Z"
"cmifyivzl04gi2o7g0gweba7n","HD-0009","Scania G440-009","Scania","G440",2022,35,371,"DUMPING","2025-10-30T12:04:32.991Z","2025-11-29T12:04:32.991Z",10937,173122,"cmifyivgw03pu2o7gg7soljbt","Crusher",false,"2022-11-17T17:00:00.000Z",,"Fleet A","2025-11-26T12:04:33.010Z","2025-11-26T12:04:33.010Z"
"cmifyivzn04gk2o7gzsmy5410","HD-0010","Mitsubishi Fuso FV517RL-010","Mitsubishi Fuso","FV517RL",2021,21,338,"IN_QUEUE","2025-11-17T12:04:32.991Z","2025-12-17T12:04:32.991Z",14766,231389,"cmifyivgz03pw2o7gwj3lhnbj","Crusher",true,"2021-05-05T17:00:00.000Z",,,"2025-11-26T12:04:33.011Z","2025-11-26T12:04:33.011Z"
"cmifyivzo04gm2o7g1qqupeae","HD-0011","Mercedes-Benz Arocs 4143-011","Mercedes-Benz","Arocs 4143",2023,37,311,"IDLE","2025-10-27T12:04:32.991Z","2025-11-26T12:04:32.991Z",7714,117729,"cmifyivh003py2o7gtc93jjic","PIT-01",true,"2023-07-25T17:00:00.000Z",,,"2025-11-26T12:04:33.013Z","2025-11-26T12:04:33.013Z"
"cmifyivzq04go2o7gn5yls4pg","HD-0012","UD Trucks Quester CGE420-012","UD Trucks","Quester CGE420",2023,24,254,"HAULING","2025-11-19T12:04:32.992Z","2025-12-19T12:04:32.992Z",8205,125942,"cmifyivh203q02o7gjznq06cu","Crusher",true,"2023-11-30T17:00:00.000Z",,,"2025-11-26T12:04:33.014Z","2025-11-26T12:04:33.014Z"
